obs,neg_p_values_lag_one,neg_p_values_lag_two,neg_p_values_lag_three,neg_p_values_lag_four,neg_p_values_lag_five
"2004-04-29 00:0",0,0,0,0,0
"2004-04-30 00:0",0,0,0,0,0
"2004-05-03 00:0",0,0,0,0,0
"2004-05-04 00:0",0,0,0,0,0
"2004-05-05 00:0",0,0,0,0,0
"2004-05-06 00:0",0,0,0,0,0
"2004-05-07 00:0",0,0,0,0,0
"2004-05-10 00:0",0,0,0,0,0
"2004-05-11 00:0",0,0,0,0,0
"2004-05-12 00:0",0,0,0,0,0
"2004-05-13 00:0",0,0,0,0,0
"2004-05-14 00:0",0,0,0,0,0
"2004-05-17 00:0",0,0,0,0,0
"2004-05-18 00:0",0,0,0,0,0
"2004-05-19 00:0",0,0,0,0,0
"2004-05-20 00:0",0,0,0,0,0
"2004-05-21 00:0",0,0,0,0,0
"2004-05-24 00:0",0,0,0,0,0
"2004-05-25 00:0",0,0,0,0,0
"2004-05-26 00:0",0,0,0,0,0
"2004-05-27 00:0",0,0,0,0,0
"2004-05-28 00:0",0,0,0,0,0
"2004-06-01 00:0",0,0,0,0,0
"2004-06-02 00:0",0,0,0,0,0
"2004-06-03 00:0",0,0,0,0,0
"2004-06-04 00:0",0,0,0,0,0
"2004-06-07 00:0",0,0,0,0,0
"2004-06-08 00:0",0,0,0,0,0
"2004-06-09 00:0",0,0,0,0,0
"2004-06-10 00:0",0,0,0,0,0
"2004-06-14 00:0",0,0,0,0,0
"2004-06-15 00:0",0,0,0,0,0
"2004-06-16 00:0",0,0,0,0,0
"2004-06-17 00:0",0,0,0,0,0
"2004-06-18 00:0",0,0,0,0,0
"2004-06-21 00:0",0,0,0,0,0
"2004-06-22 00:0",0,0,0,0,0
"2004-06-23 00:0",0,0,0,0,0
"2004-06-24 00:0",0,0,0,0,0
"2004-06-25 00:0",0,0,0,0,0
"2004-06-28 00:0",0,0,0,0,0
"2004-06-29 00:0",0,0,0,0,0
"2004-06-30 00:0",0,0,0,0,0
"2004-07-01 00:0",0,0,0,0,0
"2004-07-02 00:0",0,0,0,0,0
"2004-07-06 00:0",0,0,0,0,0
"2004-07-07 00:0",0,0,0,0,0
"2004-07-08 00:0",0,0,0,0,0
"2004-07-09 00:0",0,0,0,0,0
"2004-07-12 00:0",0,0,0,0,0
"2004-07-13 00:0",0,0,0,0,0
"2004-07-14 00:0",0,0,0,0,0
"2004-07-15 00:0",0,0,0,0,0
"2004-07-16 00:0",0,0,0,0,0
"2004-07-19 00:0",0,0,0,0,0
"2004-07-20 00:0",0,0,0,0,0
"2004-07-21 00:0",0,0,0,0,0
"2004-07-22 00:0",0,0,0,0,0
"2004-07-23 00:0",0,0,0,0,0
"2004-07-26 00:0",0,0,0,0,0
"2004-07-27 00:0",0,0,0,0,0
"2004-07-28 00:0",0,0,0,0,0
"2004-07-29 00:0",0,0,0,0,0
"2004-07-30 00:0",0,0,0,0,0
"2004-08-02 00:0",0,0,0,0,0
"2004-08-03 00:0",0,0,0,0,0
"2004-08-04 00:0",0,0,0,0,0
"2004-08-05 00:0",0,0,0,0,0
"2004-08-06 00:0",0,0,0,0,0
"2004-08-09 00:0",0,0,0,0,0
"2004-08-10 00:0",0,0,0,0,0
"2004-08-11 00:0",0,0,0,0,0
"2004-08-12 00:0",0,0,0,0,0
"2004-08-13 00:0",0,0,0,0,0
"2004-08-16 00:0",0,0,0,0,0
"2004-08-17 00:0",0,0,0,0,0
"2004-08-18 00:0",0,0,0,0,0
"2004-08-19 00:0",0,0,0,0,0
"2004-08-20 00:0",0,0,0,0,0
"2004-08-23 00:0",0,0,0,0,0
"2004-08-24 00:0",0,0,0,0,0
"2004-08-25 00:0",0,0,0,0,0
"2004-08-26 00:0",0,0,0,0,0
"2004-08-27 00:0",0,0,0,0,0
"2004-08-30 00:0",0,0,0,0,0
"2004-08-31 00:0",0,0,0,0,0
"2004-09-01 00:0",0,0,0,0,0
"2004-09-02 00:0",0,0,0,0,0
"2004-09-03 00:0",0,0,0,0,0
"2004-09-07 00:0",0,0,0,0,0
"2004-09-08 00:0",0,0,0,0,0
"2004-09-09 00:0",0,0,0,0,0
"2004-09-10 00:0",0,0,0,0,0
"2004-09-13 00:0",0,0,0,0,0
"2004-09-14 00:0",0,0,0,0,0
"2004-09-15 00:0",0,0,0,0,0
"2004-09-16 00:0",0,0,0,0,0
"2004-09-17 00:0",0,0,0,0,0
"2004-09-20 00:0",0,0,0,0,0
"2004-09-21 00:0",0,0,0,0,0
"2004-09-22 00:0",0,0,0,0,0
"2004-09-23 00:0",0,0,0,0,0
"2004-09-24 00:0",0,0,0,0,0
"2004-09-27 00:0",0,0,0,0,0
"2004-09-28 00:0",0,0,0,0,0
"2004-09-29 00:0",0,0,0,0,0
"2004-09-30 00:0",0,0,0,0,0
"2004-10-01 00:0",0,0,0,0,0
"2004-10-04 00:0",0,0,0,0,0
"2004-10-05 00:0",0,0,0,0,0
"2004-10-06 00:0",0,0,0,0,0
"2004-10-07 00:0",0,0,0,0,0
"2004-10-08 00:0",0,0,0,0,0
"2004-10-11 00:0",0,0,0,0,0
"2004-10-12 00:0",0,0,0,0,0
"2004-10-13 00:0",0,0,0,0,0
"2004-10-14 00:0",0,0,0,0,0
"2004-10-15 00:0",0,0,0,0,0
"2004-10-18 00:0",0,0,0,0,0
"2004-10-19 00:0",0,0,0,0,0
"2004-10-20 00:0",0,0,0,0,0
"2004-10-21 00:0",0,0,0,0,0
"2004-10-22 00:0",0,0,0,0,0
"2004-10-25 00:0",0,0,0,0,0
"2004-10-26 00:0",0,0,0,0,0
"2004-10-27 00:0",0,0,0,0,0
"2004-10-28 00:0",0,0,0,0,0
"2004-10-29 00:0",0,0,0,0,0
"2004-11-01 00:0",0,0,0,0,0
"2004-11-02 00:0",0,0,0,0,0
"2004-11-03 00:0",0,0,0,0,0
"2004-11-04 00:0",0,0,0,0,0
"2004-11-05 00:0",0,0,0,0,0
"2004-11-08 00:0",0,0,0,0,0
"2004-11-09 00:0",0,0,0,0,0
"2004-11-10 00:0",0,0,0,0,0
"2004-11-11 00:0",0,0,0,0,0
"2004-11-12 00:0",0,0,0,0,0
"2004-11-15 00:0",0,0,0,0,0
"2004-11-16 00:0",0,0,0,0,0
"2004-11-17 00:0",0,0,0,0,0
"2004-11-18 00:0",0,0,0,0,0
"2004-11-19 00:0",0,0,0,0,0
"2004-11-22 00:0",0,0,0,0,0
"2004-11-23 00:0",0,0,0,0,0
"2004-11-24 00:0",0,0,0,0,0
"2004-11-26 00:0",0,0,0,0,0
"2004-11-29 00:0",0,0,0,0,0
"2004-11-30 00:0",0,0,0,0,0
"2004-12-01 00:0",0,0,0,0,0
"2004-12-02 00:0",0,0,0,0,0
"2004-12-03 00:0",0,0,0,0,0
"2004-12-06 00:0",0,0,0,0,0
"2004-12-07 00:0",0,0,0,0,0
"2004-12-08 00:0",0,0,0,0,0
"2004-12-09 00:0",0,0,0,0,0
"2004-12-10 00:0",0,0,0,0,0
"2004-12-13 00:0",0,0,0,0,0
"2004-12-14 00:0",0,0,0,0,0
"2004-12-15 00:0",0,0,0,0,0
"2004-12-16 00:0",0,0,0,0,0
"2004-12-17 00:0",0,0,0,0,0
"2004-12-20 00:0",0,0,0,0,0
"2004-12-21 00:0",0,0,0,0,0
"2004-12-22 00:0",0,0,0,0,0
"2004-12-23 00:0",0,0,0,0,0
"2004-12-27 00:0",0,0,0,0,0
"2004-12-28 00:0",0,0,0,0,0
"2004-12-29 00:0",0,0,0,0,0
"2004-12-30 00:0",0,0,0,0,0
"2004-12-31 00:0",0,0,0,0,0
"2005-01-03 00:0",0,0,0,0,0
"2005-01-04 00:0",0.35209541692151,0.119963734664938,0.384870274414733,0.557134054319544,0.18567883042852
"2005-01-05 00:0",0.356816574258592,0.120990567407284,0.373242312761734,0.524410879850902,0.195667354950222
"2005-01-06 00:0",0.321110946755896,0.144267861618661,0.325653076208989,0.470192431491444,0.21719474577257
"2005-01-07 00:0",0.450831935757438,0.137500282078105,0.210258581866126,0.437534247852682,0.199367945382368
"2005-01-10 00:0",0.461900068751365,0.155994970813937,0.226751296843236,0.367338655310477,0.208952323221234
"2005-01-11 00:0",0.470947651366322,0.15932945714291,0.196675663514892,0.380455138005513,0.243555142471853
"2005-01-12 00:0",0.454441387403236,0.16893498435702,0.19643358037444,0.422655800941915,0.244281845451699
"2005-01-13 00:0",0.427516100083808,0.16844053209459,0.202814229627363,0.427738082345872,0.221444021961183
"2005-01-14 00:0",0.576329753629671,0.149973801328845,0.22181432203797,0.415559879651027,0.207775611977906
"2005-01-18 00:0",0.577565995587206,0.154154213311259,0.22470666589562,0.409374337671547,0.204229016656521
"2005-01-19 00:0",0.577721472430328,0.154280679009974,0.230568701999084,0.407972625176929,0.205288279504292
"2005-01-20 00:0",0.915570226023819,0.152284890245215,0.240738257265818,0.275708693789187,0.189627545402075
"2005-01-21 00:0",0.938151763750339,0.248160625284124,0.437686583835706,0.397650240653455,0.461894541061567
"2005-01-24 00:0",0.914980837235173,0.261194595040132,0.432366468271967,0.401892776811294,0.474189067636231
"2005-01-25 00:0",0.931491846025915,0.282812382977129,0.466166924713413,0.421914164546926,0.477621687428528
"2005-01-26 00:0",0.469953810205078,0.506064273463808,0.404780008601714,0.53845181905267,0.540907083558243
"2005-01-27 00:0",0.538937485696283,0.709667375469829,0.414829367535368,0.54505135480294,0.473485948784782
"2005-01-28 00:0",0.522626525698388,0.715436868516057,0.262380647421602,0.626977018981178,0.463787180875748
"2005-01-31 00:0",0.646140779189264,0.850758152636654,0.242504801050308,0.899111114482076,0.892753005432418
"2005-02-01 00:0",0.617099336077625,0.827938396826584,0.254159039577013,0.905259625336397,0.945333061461736
"2005-02-02 00:0",0.651641125742012,0.773536328905203,0.29463777279841,0.837230005824585,0.872100043901185
"2005-02-03 00:0",0.643403884236701,0.760032755818247,0.351909982684953,0.870045706184253,0.901988700180663
"2005-02-04 00:0",0.627731757306508,0.750254577764357,0.347013000558461,0.874921208523636,0.900668519200356
"2005-02-07 00:0",0.636858400288223,0.756803110905747,0.335843634186285,0.90043437125959,0.884198187319545
"2005-02-08 00:0",0.639939061356903,0.744783367686355,0.337480775457113,0.906844082434629,0.888443293676186
"2005-02-09 00:0",0.648088371575334,0.664014967210327,0.272404449001236,0.850149010351558,0.943690824031402
"2005-02-10 00:0",0.688280419143493,0.659269721547747,0.291916375187631,0.855227568675519,0.924723625622115
"2005-02-11 00:0",0.843557416241752,0.804064110850147,0.33216994971112,0.883744714297788,0.835150634547324
"2005-02-14 00:0",0.846033946454588,0.865358117701728,0.287432776506619,0.903349179859465,0.834321664798044
"2005-02-15 00:0",0.766898289730381,0.843381873892559,0.297612716250332,0.910099636982956,0.848848627673416
"2005-02-16 00:0",0.763821427172639,0.817002073941781,0.306819029492219,0.939401006230437,0.814055730453571
"2005-02-17 00:0",0.797505815519166,0.679440089882575,0.345345038582177,0.937853067351898,0.839204754679615
"2005-02-18 00:0",0.790953516676888,0.674363151850744,0.291369154430725,0.949133547762325,0.807257613404454
"2005-02-22 00:0",0.683910633789019,0.60343659725192,0.241092385501369,0.992302921722313,0.718502102889155
"2005-02-23 00:0",0.735515851765185,0.609818631743365,0.215213693841104,0.967096947800215,0.976041126694117
"2005-02-24 00:0",0.729758833507973,0.562277349814136,0.219070729239145,0.919125221999422,0.995199100363309
"2005-02-25 00:0",0.746111691221743,0.587992605274224,0.236303993072802,0.938857578283707,0.962820912215925
"2005-02-28 00:0",0.776284589875496,0.688394612073188,0.303045626773938,0.85672866718555,0.872889452089011
"2005-03-01 00:0",0.701321993719098,0.680529875765791,0.320785117678465,0.877488924284326,0.917961258768117
"2005-03-02 00:0",0.644249513878414,0.6986532995373,0.325490039252657,0.894791952814847,0.859940888363913
"2005-03-03 00:0",0.647482809900328,0.785548131627577,0.380355376602037,0.896612147955726,0.834263643354903
"2005-03-04 00:0",0.633750669370196,0.810805851023432,0.366030912521205,0.905289956958671,0.837198008687041
"2005-03-07 00:0",0.555958636366643,0.800882234095731,0.312653937076393,0.860120598839767,0.942394767272969
"2005-03-08 00:0",0.562956954374616,0.798307613719429,0.313331152636382,0.864634432852915,0.929748600590338
"2005-03-09 00:0",0.6307947760317,0.971078858334642,0.430763708636331,0.829838003483341,0.977949875303959
"2005-03-10 00:0",0.589743038222144,0.905011595298178,0.440236628315047,0.78396509989289,0.992747955376971
"2005-03-11 00:0",0.625323004695471,0.864928248919643,0.479595560428442,0.736194065054186,0.949030050709075
"2005-03-14 00:0",0.61226169079732,0.847522207414973,0.453013816521845,0.71853276002156,0.969044131009297
"2005-03-15 00:0",0.627334815996639,0.864914029476011,0.424639348203655,0.716451035254079,0.937775562181703
"2005-03-16 00:0",0.585753591101833,0.916582570529173,0.375368822378161,0.687615327096878,0.970530480386429
"2005-03-17 00:0",0.608954829837093,0.931780800203621,0.328556099050603,0.660833467329891,0.9682029099125
"2005-03-18 00:0",0.564970149481105,0.887081178786553,0.35549884387524,0.620272101271176,0.930134792606996
"2005-03-21 00:0",0.564906681955788,0.940851154057688,0.281970712207404,0.572732500098453,0.907752759851423
"2005-03-22 00:0",0.608822123709625,0.915479973222964,0.244400077637531,0.534132982219461,0.853653423514059
"2005-03-23 00:0",0.582435982424496,0.827320059760429,0.232146808073756,0.582478330830877,0.942756492691239
"2005-03-24 00:0",0.446174561323362,0.781724985076333,0.236260529997687,0.57253384068611,0.977840760207349
"2005-03-28 00:0",0.446059997806074,0.801079338106679,0.233152794721501,0.580234445872165,0.977046545319754
"2005-03-29 00:0",0.36418873623058,0.895565508300671,0.265107151006112,0.622312465843469,0.892016938599775
"2005-03-30 00:0",0.417487955791631,0.820642387571559,0.211985366721998,0.769731225301411,0.798866429499233
"2005-03-31 00:0",0.443255360037678,0.812068207075208,0.20440485755217,0.781730369425169,0.955975273285743
"2005-04-01 00:0",0.462185674125046,0.831806592340805,0.208688117484709,0.769265858211513,0.938161838766983
"2005-04-04 00:0",0.469309571808784,0.854732100406655,0.168367738805205,0.767308234373659,0.982961599260679
"2005-04-05 00:0",0.487476425861832,0.850310812043856,0.165879666033356,0.780123862215744,0.966279313781146
"2005-04-06 00:0",0.494919236358367,0.893868358736887,0.168764424731046,0.800072029308089,0.991740913469592
"2005-04-07 00:0",0.436647553974637,0.888023826895164,0.186222250965087,0.8105129164427,0.981863095639672
"2005-04-08 00:0",0.416332263336096,0.845674570893493,0.190383982570334,0.827667397962541,0.992672167192461
"2005-04-11 00:0",0.417650234991894,0.860712310403311,0.224300615155976,0.83644584771985,0.964572312276666
"2005-04-12 00:0",0.464923927081188,0.86439519270967,0.244563541300961,0.811816708182222,0.971401755005669
"2005-04-13 00:0",0.390859671130015,0.964880184694701,0.226867946807671,0.892558929472315,0.955034290623448
"2005-04-14 00:0",0.584823067253559,0.793371040338254,0.174139666920452,0.724937790876334,0.9684589380153
"2005-04-15 00:0",0.617690494251796,0.767349562867324,0.213175921791721,0.675585744275237,0.953244164739701
"2005-04-18 00:0",0.961957973033286,0.715066405495316,0.26015478732383,0.592265670030366,0.80686386595827
"2005-04-19 00:0",0.81525847051967,0.76733880684063,0.222371398168847,0.580783723482725,0.827875859783206
"2005-04-20 00:0",0.96084961219152,0.766640074992593,0.36687975069919,0.564761887607751,0.8991939349469
"2005-04-21 00:0",0.985851608468516,0.716156734320284,0.399158995808591,0.508899480807219,0.906831899973892
"2005-04-22 00:0",0.825173115638337,0.648034996689604,0.330743554266518,0.612895141449388,0.800162820667266
"2005-04-25 00:0",0.811085101757782,0.666467874478403,0.313916483433509,0.635501698369913,0.821554972282086
"2005-04-26 00:0",0.798770918439983,0.672781617418614,0.32383988847918,0.644253438053779,0.824357892171241
"2005-04-27 00:0",0.832750269430206,0.693761000245974,0.350831517404865,0.613466751911529,0.893421002691623
"2005-04-28 00:0",0.848907818261614,0.722020617138369,0.381790551529439,0.605789055336812,0.85157624016966
"2005-04-29 00:0",0.874841192013205,0.752347098174233,0.379489241003693,0.577540381545113,0.827317374842385
"2005-05-02 00:0",0.749436301580088,0.653202981924366,0.476633642114584,0.647595069490153,0.81093683499787
"2005-05-03 00:0",0.69200209687147,0.608932501943446,0.382803254272293,0.593795703531518,0.941590224362836
"2005-05-04 00:0",0.879641206211411,0.586534958954319,0.324843583165291,0.533890247850716,0.996426501796221
"2005-05-05 00:0",0.855386352099885,0.557857079494359,0.294839940051345,0.536553292801218,0.895673574277989
"2005-05-06 00:0",0.883059245871367,0.58318977912205,0.313043714031646,0.54598581916178,0.869667449770316
"2005-05-09 00:0",0.839958303051828,0.611218637090364,0.277892567867303,0.602263646372178,0.867312624378431
"2005-05-10 00:0",0.857607798064529,0.625938768560331,0.255636341028823,0.588396288103165,0.757839053910706
"2005-05-11 00:0",0.819656138839795,0.594351694407286,0.288633400735408,0.593654457830507,0.757312913129815
"2005-05-12 00:0",0.861767803963243,0.530299545560874,0.326733049870993,0.634509678814402,0.732382951181796
"2005-05-13 00:0",0.890407425352356,0.526083876343016,0.306632928975445,0.62509881752119,0.740486261218231
"2005-05-16 00:0",0.89722094172326,0.524489481567549,0.314787493080555,0.623879619294505,0.748223933717262
"2005-05-17 00:0",0.812921912321246,0.536672370969387,0.273506505180036,0.612504536621123,0.794870373297655
"2005-05-18 00:0",0.792827555854769,0.524763709741153,0.245486420512287,0.603017143708056,0.739195728853636
"2005-05-19 00:0",0.778667977708087,0.524348909418844,0.228359529659119,0.598837804846862,0.731730131102491
"2005-05-20 00:0",0.721886325165813,0.513452591173561,0.240258593076474,0.614997689087961,0.766221825043341
"2005-05-23 00:0",0.721360241660424,0.512036366687878,0.242347993569697,0.635267278825064,0.721057700207544
"2005-05-24 00:0",0.64387654800963,0.515613314896913,0.249735087091122,0.661733207779988,0.690271643665645
"2005-05-25 00:0",0.64221525101633,0.546304833008486,0.236017881331223,0.691684278640566,0.687185906157315
"2005-05-26 00:0",0.631697942993068,0.533414905199031,0.193537262659548,0.714667574721476,0.786884381631947
"2005-05-27 00:0",0.685423767721897,0.508052243123036,0.193732335245271,0.765515920524321,0.773978502121471
"2005-05-31 00:0",0.621344072547363,0.493717362042416,0.156260354311895,0.754438774854491,0.865001097861112
"2005-06-01 00:0",0.58318666180848,0.495365408078076,0.180816843124096,0.754659383198782,0.850832782079149
"2005-06-02 00:0",0.599423082475217,0.524399673829622,0.208792779048188,0.747934271750552,0.95032758399363
"2005-06-03 00:0",0.573684932348756,0.54330844418122,0.214520918352772,0.770732044655698,0.899205654719935
"2005-06-06 00:0",0.57434649833984,0.54317802831684,0.215075020678134,0.770840818726047,0.897425809091669
"2005-06-07 00:0",0.57619674509544,0.542090735123523,0.227181002380718,0.755153052851584,0.880613598311891
"2005-06-08 00:0",0.384863387126616,0.478831663175836,0.220603979350803,0.818758526969664,0.930194081915358
"2005-06-09 00:0",0.393563600924171,0.490349238114529,0.218577505242076,0.816765942282613,0.928274286317634
"2005-06-10 00:0",0.444969318139727,0.50633649585351,0.176574999800538,0.779081870226676,0.891736277681549
"2005-06-13 00:0",0.441077863189309,0.498986342799021,0.181024792035707,0.779184839605087,0.893291809081642
"2005-06-14 00:0",0.418357352243478,0.489719956482161,0.152267496594108,0.745069141700253,0.959882018354699
"2005-06-15 00:0",0.383813382655757,0.464764597324444,0.163637473956959,0.673375215239004,0.970484308672119
"2005-06-16 00:0",0.322951504470027,0.445400410486969,0.161174327033094,0.67903620052233,0.909232154342978
"2005-06-17 00:0",0.308122859046659,0.482044895471703,0.144213117506708,0.677607139333102,0.894988788252186
"2005-06-20 00:0",0.317308802169986,0.44619954357699,0.143815370486684,0.604117239086649,0.817153955184058
"2005-06-21 00:0",0.256435755465888,0.407388766626738,0.157149257171755,0.679507625771135,0.767777924533758
"2005-06-22 00:0",0.274422430510688,0.425345006237591,0.149884494880858,0.65974703780525,0.739703823077636
"2005-06-23 00:0",0.262414518273663,0.427391333009711,0.146025901950776,0.654321697587249,0.73964684814984
"2005-06-24 00:0",0.233383935302112,0.449124405758414,0.154911785023556,0.654201411265361,0.710611847237292
"2005-06-27 00:0",0.209670889252298,0.425867783102567,0.215870527274266,0.637225570879179,0.607630028642117
"2005-06-28 00:0",0.166070987701187,0.397403889405122,0.237177396470189,0.685412727137396,0.599903587863979
"2005-06-29 00:0",0.199852099913268,0.404664284282906,0.225798834272207,0.650449053438665,0.623200825269085
"2005-06-30 00:0",0.212107443389269,0.378048463708787,0.247725743937701,0.667913636551115,0.671466338429002
"2005-07-01 00:0",0.210743353489413,0.373336438265731,0.265072130745945,0.652914868367763,0.657790547840171
"2005-07-05 00:0",0.215635251367593,0.376524646311902,0.289763194455981,0.627221093237999,0.59305459615705
"2005-07-06 00:0",0.221158869413288,0.379409122201595,0.289294387773604,0.625137961468037,0.608766419547546
"2005-07-07 00:0",0.215053070877116,0.385007807058884,0.281709014000817,0.627279456738889,0.601756289180614
"2005-07-08 00:0",0.212120754112798,0.351753736021872,0.285523995291474,0.620365311262225,0.608170157467439
"2005-07-11 00:0",0.171546051214594,0.376107345686,0.214995143323077,0.634039555074849,0.636904178549826
"2005-07-12 00:0",0.143305120716926,0.362204888161846,0.175525889493188,0.62201403134624,0.658171673542294
"2005-07-13 00:0",0.18473105428128,0.413391026208997,0.198251296648186,0.65374618677355,0.625336949610442
"2005-07-14 00:0",0.196281333644234,0.670041817676979,0.099904665729373,0.686491910952938,0.772740599095345
"2005-07-15 00:0",0.240416574564919,0.696844063458405,0.158883936862339,0.779659711952435,0.753853586700704
"2005-07-18 00:0",0.185801606886421,0.689225035736954,0.184361729277956,0.775828075190066,0.64630471886786
"2005-07-19 00:0",0.19237216443911,0.686861794701995,0.193324920478937,0.775759219643344,0.638360754490849
"2005-07-20 00:0",0.191637081327518,0.694960982840392,0.192534191576835,0.787606296108319,0.637848943906147
"2005-07-21 00:0",0.191858881330464,0.702593361162431,0.199442474003084,0.782801128922635,0.630468563457367
"2005-07-22 00:0",0.174723887518041,0.693240351391044,0.217073596793812,0.75314600654506,0.661153674491366
"2005-07-25 00:0",0.133240335049761,0.735075959939428,0.20049947666196,0.69726020660305,0.751788671278633
"2005-07-26 00:0",0.112446111772412,0.792917987644466,0.191708602920704,0.711887877037386,0.779974350610611
"2005-07-27 00:0",0.112616237411855,0.827979726416745,0.212358116334595,0.701365094410054,0.776136882450688
"2005-07-28 00:0",0.0979130604190216,0.829784425140123,0.160723319604583,0.782378363901536,0.758808434085092
"2005-07-29 00:0",0.0676138409560477,0.806198306295655,0.15284904202497,0.749920161705377,0.809722458655966
"2005-08-01 00:0",0.0894038400779567,0.835087127204973,0.198218549195548,0.770064049285694,0.76613726895108
"2005-08-02 00:0",0.086209670273664,0.741417712746845,0.241101083437624,0.704495937057207,0.733403385770354
"2005-08-03 00:0",0.0857931188117863,0.675221095921237,0.273463273180799,0.80806352528912,0.723907744091308
"2005-08-04 00:0",0.103945815494814,0.613800651569719,0.289762957956305,0.699901734296044,0.674653702868102
"2005-08-05 00:0",0.104661992864599,0.607069145889494,0.26679505734596,0.650509261301739,0.708148670559431
"2005-08-08 00:0",0.100741902109049,0.602620538118395,0.270943445903686,0.647331495874531,0.70151441873974
"2005-08-09 00:0",0.101939330574335,0.562033768421111,0.279551232527538,0.654796928281476,0.683446674411704
"2005-08-10 00:0",0.10015250839403,0.561050945377485,0.289654009460512,0.657324219634093,0.685622214334698
"2005-08-11 00:0",0.0988804254624143,0.58140803451135,0.309390620437533,0.623816749849167,0.67592791017527
"2005-08-12 00:0",0.111992746384468,0.598234745970166,0.357191634657693,0.585807672862586,0.808689251147029
"2005-08-15 00:0",0.114358571397661,0.615427102294869,0.343463751424921,0.620534283667764,0.757739579540307
"2005-08-16 00:0",0.110026163423777,0.618796584535915,0.334801199621707,0.595146635349402,0.797858479464173
"2005-08-17 00:0",0.142069356440303,0.440973005412282,0.350803106659811,0.566358094396129,0.908323994984329
"2005-08-18 00:0",0.151871237108866,0.489674916277327,0.408320192359317,0.594489975705902,0.881143256463308
"2005-08-19 00:0",0.168488673695079,0.517355946305729,0.365939990118664,0.607014904056961,0.925557688002099
"2005-08-22 00:0",0.163678154019027,0.551806776622449,0.360250150459463,0.591056258990479,0.994094994372374
