obs,pos_t_ratios,neg_t_ratios,med_vol_t_ratios,pos_coeffs,neg_coeffs,med_vol_coeffs
"2003-01-02 00:0",0,0,0,NA,NA,NA
"2003-01-03 00:0",0,0,0,NA,NA,NA
"2003-01-06 00:0",0,0,0,NA,NA,NA
"2003-01-07 00:0",0,0,0,NA,NA,NA
"2003-01-08 00:0",0,0,0,NA,NA,NA
"2003-01-09 00:0",0,0,0,NA,NA,NA
"2003-01-10 00:0",0,0,0,NA,NA,NA
"2003-01-13 00:0",0,0,0,NA,NA,NA
"2003-01-14 00:0",0,0,0,NA,NA,NA
"2003-01-15 00:0",0,0,0,NA,NA,NA
"2003-01-16 00:0",0,0,0,NA,NA,NA
"2003-01-17 00:0",0,0,0,NA,NA,NA
"2003-01-21 00:0",0,0,0,NA,NA,NA
"2003-01-22 00:0",0,0,0,NA,NA,NA
"2003-01-23 00:0",0,0,0,NA,NA,NA
"2003-01-24 00:0",0,0,0,NA,NA,NA
"2003-01-27 00:0",0,0,0,NA,NA,NA
"2003-01-28 00:0",0,0,0,NA,NA,NA
"2003-01-29 00:0",0,0,0,NA,NA,NA
"2003-01-30 00:0",0,0,0,NA,NA,NA
"2003-01-31 00:0",0,0,0,NA,NA,NA
"2003-02-03 00:0",0,0,0,NA,NA,NA
"2003-02-04 00:0",0,0,0,NA,NA,NA
"2003-02-05 00:0",0,0,0,NA,NA,NA
"2003-02-06 00:0",0,0,0,NA,NA,NA
"2003-02-07 00:0",0,0,0,NA,NA,NA
"2003-02-10 00:0",0,0,0,NA,NA,NA
"2003-02-11 00:0",0,0,0,NA,NA,NA
"2003-02-12 00:0",0,0,0,NA,NA,NA
"2003-02-13 00:0",0,0,0,NA,NA,NA
"2003-02-14 00:0",0,0,0,NA,NA,NA
"2003-02-18 00:0",0,0,0,NA,NA,NA
"2003-02-19 00:0",0,0,0,NA,NA,NA
"2003-02-20 00:0",0,0,0,NA,NA,NA
"2003-02-21 00:0",0,0,0,NA,NA,NA
"2003-02-24 00:0",0,0,0,NA,NA,NA
"2003-02-25 00:0",0,0,0,NA,NA,NA
"2003-02-26 00:0",0,0,0,NA,NA,NA
"2003-02-27 00:0",0,0,0,NA,NA,NA
"2003-02-28 00:0",0,0,0,NA,NA,NA
"2003-03-03 00:0",0,0,0,NA,NA,NA
"2003-03-04 00:0",0,0,0,NA,NA,NA
"2003-03-05 00:0",0,0,0,NA,NA,NA
"2003-03-06 00:0",0,0,0,NA,NA,NA
"2003-03-07 00:0",0,0,0,NA,NA,NA
"2003-03-10 00:0",0,0,0,NA,NA,NA
"2003-03-11 00:0",0,0,0,NA,NA,NA
"2003-03-12 00:0",0,0,0,NA,NA,NA
"2003-03-13 00:0",0,0,0,NA,NA,NA
"2003-03-14 00:0",0,0,0,NA,NA,NA
"2003-03-17 00:0",0,0,0,NA,NA,NA
"2003-03-18 00:0",0,0,0,NA,NA,NA
"2003-03-19 00:0",0,0,0,NA,NA,NA
"2003-03-20 00:0",0,0,0,NA,NA,NA
"2003-03-21 00:0",0,0,0,NA,NA,NA
"2003-03-24 00:0",0,0,0,NA,NA,NA
"2003-03-25 00:0",0,0,0,NA,NA,NA
"2003-03-26 00:0",0,0,0,NA,NA,NA
"2003-03-27 00:0",0,0,0,NA,NA,NA
"2003-03-28 00:0",0,0,0,NA,NA,NA
"2003-03-31 00:0",0,0,0,NA,NA,NA
"2003-04-01 00:0",0,0,0,NA,NA,NA
"2003-04-02 00:0",0,0,0,NA,NA,NA
"2003-04-03 00:0",0,0,0,NA,NA,NA
"2003-04-04 00:0",0,0,0,NA,NA,NA
"2003-04-07 00:0",0,0,0,NA,NA,NA
"2003-04-08 00:0",0,0,0,NA,NA,NA
"2003-04-09 00:0",0,0,0,NA,NA,NA
"2003-04-10 00:0",0,0,0,NA,NA,NA
"2003-04-11 00:0",0,0,0,NA,NA,NA
"2003-04-14 00:0",0,0,0,NA,NA,NA
"2003-04-15 00:0",0,0,0,NA,NA,NA
"2003-04-16 00:0",0,0,0,NA,NA,NA
"2003-04-17 00:0",0,0,0,NA,NA,NA
"2003-04-21 00:0",0,0,0,NA,NA,NA
"2003-04-22 00:0",0,0,0,NA,NA,NA
"2003-04-23 00:0",0,0,0,NA,NA,NA
"2003-04-24 00:0",0,0,0,NA,NA,NA
"2003-04-25 00:0",0,0,0,NA,NA,NA
"2003-04-28 00:0",0,0,0,NA,NA,NA
"2003-04-29 00:0",0,0,0,NA,NA,NA
"2003-04-30 00:0",0,0,0,NA,NA,NA
"2003-05-01 00:0",0,0,0,NA,NA,NA
"2003-05-02 00:0",0,0,0,NA,NA,NA
"2003-05-05 00:0",0,0,0,NA,NA,NA
"2003-05-06 00:0",0,0,0,NA,NA,NA
"2003-05-07 00:0",0,0,0,NA,NA,NA
"2003-05-08 00:0",0,0,0,NA,NA,NA
"2003-05-09 00:0",0,0,0,NA,NA,NA
"2003-05-12 00:0",0,0,0,NA,NA,NA
"2003-05-13 00:0",0,0,0,NA,NA,NA
"2003-05-14 00:0",0,0,0,NA,NA,NA
"2003-05-15 00:0",0,0,0,NA,NA,NA
"2003-05-16 00:0",0,0,0,NA,NA,NA
"2003-05-19 00:0",0,0,0,NA,NA,NA
"2003-05-20 00:0",0,0,0,NA,NA,NA
"2003-05-21 00:0",0,0,0,NA,NA,NA
"2003-05-22 00:0",0,0,0,NA,NA,NA
"2003-05-23 00:0",0,0,0,NA,NA,NA
"2003-05-27 00:0",0,0,0,NA,NA,NA
"2003-05-28 00:0",0,0,0,NA,NA,NA
"2003-05-29 00:0",0,0,0,NA,NA,NA
"2003-05-30 00:0",0,0,0,NA,NA,NA
"2003-06-02 00:0",0,0,0,NA,NA,NA
"2003-06-03 00:0",0,0,0,NA,NA,NA
"2003-06-04 00:0",0,0,0,NA,NA,NA
"2003-06-05 00:0",0,0,0,NA,NA,NA
"2003-06-06 00:0",0,0,0,NA,NA,NA
"2003-06-09 00:0",0,0,0,NA,NA,NA
"2003-06-10 00:0",0,0,0,NA,NA,NA
"2003-06-11 00:0",0,0,0,NA,NA,NA
"2003-06-12 00:0",0,0,0,NA,NA,NA
"2003-06-13 00:0",0,0,0,NA,NA,NA
"2003-06-16 00:0",0,0,0,NA,NA,NA
"2003-06-17 00:0",0,0,0,NA,NA,NA
"2003-06-18 00:0",0,0,0,NA,NA,NA
"2003-06-19 00:0",0,0,0,NA,NA,NA
"2003-06-20 00:0",0,0,0,NA,NA,NA
"2003-06-23 00:0",0,0,0,NA,NA,NA
"2003-06-24 00:0",0,0,0,NA,NA,NA
"2003-06-25 00:0",0,0,0,NA,NA,NA
"2003-06-26 00:0",0,0,0,NA,NA,NA
"2003-06-27 00:0",0,0,0,NA,NA,NA
"2003-06-30 00:0",0,0,0,NA,NA,NA
"2003-07-01 00:0",0,0,0,NA,NA,NA
"2003-07-02 00:0",0,0,0,NA,NA,NA
"2003-07-03 00:0",0,0,0,NA,NA,NA
"2003-07-07 00:0",0,0,0,NA,NA,NA
"2003-07-08 00:0",0,0,0,NA,NA,NA
"2003-07-09 00:0",0,0,0,NA,NA,NA
"2003-07-10 00:0",0,0,0,NA,NA,NA
"2003-07-11 00:0",0,0,0,NA,NA,NA
"2003-07-14 00:0",0,0,0,NA,NA,NA
"2003-07-15 00:0",0,0,0,NA,NA,NA
"2003-07-16 00:0",0,0,0,NA,NA,NA
"2003-07-17 00:0",0,0,0,NA,NA,NA
"2003-07-18 00:0",0,0,0,NA,NA,NA
"2003-07-21 00:0",0,0,0,NA,NA,NA
"2003-07-22 00:0",0,0,0,NA,NA,NA
"2003-07-23 00:0",0,0,0,NA,NA,NA
"2003-07-24 00:0",0,0,0,NA,NA,NA
"2003-07-25 00:0",0,0,0,NA,NA,NA
"2003-07-28 00:0",0,0,0,NA,NA,NA
"2003-07-29 00:0",0,0,0,NA,NA,NA
"2003-07-30 00:0",0,0,0,NA,NA,NA
"2003-07-31 00:0",0,0,0,NA,NA,NA
"2003-08-01 00:0",0,0,0,NA,NA,NA
"2003-08-04 00:0",0,0,0,NA,NA,NA
"2003-08-05 00:0",0,0,0,NA,NA,NA
"2003-08-06 00:0",0,0,0,NA,NA,NA
"2003-08-07 00:0",0,0,0,NA,NA,NA
"2003-08-08 00:0",0,0,0,NA,NA,NA
"2003-08-11 00:0",0,0,0,NA,NA,NA
"2003-08-12 00:0",0,0,0,NA,NA,NA
"2003-08-13 00:0",0,0,0,NA,NA,NA
"2003-08-14 00:0",0,0,0,NA,NA,NA
"2003-08-15 00:0",0,0,0,NA,NA,NA
"2003-08-18 00:0",0,0,0,NA,NA,NA
"2003-08-19 00:0",0,0,0,NA,NA,NA
"2003-08-20 00:0",0,0,0,NA,NA,NA
"2003-08-21 00:0",0,0,0,NA,NA,NA
"2003-08-22 00:0",0,0,0,NA,NA,NA
"2003-08-25 00:0",0,0,0,NA,NA,NA
"2003-08-26 00:0",0,0,0,NA,NA,NA
"2003-08-27 00:0",0,0,0,NA,NA,NA
"2003-08-28 00:0",0,0,0,NA,NA,NA
"2003-08-29 00:0",0,0,0,NA,NA,NA
"2003-09-02 00:0",0,0,0,NA,NA,NA
"2003-09-03 00:0",0,0,0,NA,NA,NA
"2003-09-04 00:0",0,0,0,NA,NA,NA
"2003-09-05 00:0",0,0,0,NA,NA,NA
"2003-09-08 00:0",0,0,0,NA,NA,NA
"2003-09-09 00:0",0,0,0,NA,NA,NA
"2003-09-10 00:0",0,0,0,NA,NA,NA
"2003-09-11 00:0",0,0,0,NA,NA,NA
"2003-09-12 00:0",0,0,0,NA,NA,NA
"2003-09-15 00:0",0,0,0,NA,NA,NA
"2003-09-16 00:0",0,0,0,NA,NA,NA
"2003-09-17 00:0",0,0,0,NA,NA,NA
"2003-09-18 00:0",0,0,0,NA,NA,NA
"2003-09-19 00:0",0,0,0,NA,NA,NA
"2003-09-22 00:0",0,0,0,NA,NA,NA
"2003-09-23 00:0",0,0,0,NA,NA,NA
"2003-09-24 00:0",0,0,0,NA,NA,NA
"2003-09-25 00:0",0,0,0,NA,NA,NA
"2003-09-26 00:0",0,0,0,NA,NA,NA
"2003-09-29 00:0",0,0,0,NA,NA,NA
"2003-09-30 00:0",0,0,0,NA,NA,NA
"2003-10-01 00:0",0,0,0,NA,NA,NA
"2003-10-02 00:0",0,0,0,NA,NA,NA
"2003-10-03 00:0",0,0,0,NA,NA,NA
"2003-10-06 00:0",0,0,0,NA,NA,NA
"2003-10-07 00:0",0,0,0,NA,NA,NA
"2003-10-08 00:0",0,0,0,NA,NA,NA
"2003-10-09 00:0",0,0,0,NA,NA,NA
"2003-10-10 00:0",0,0,0,NA,NA,NA
"2003-10-13 00:0",0,0,0,NA,NA,NA
"2003-10-14 00:0",0,0,0,NA,NA,NA
"2003-10-15 00:0",0,0,0,NA,NA,NA
"2003-10-16 00:0",0,0,0,NA,NA,NA
"2003-10-17 00:0",0,0,0,NA,NA,NA
"2003-10-20 00:0",0,0,0,NA,NA,NA
"2003-10-21 00:0",0,0,0,NA,NA,NA
"2003-10-22 00:0",0,0,0,NA,NA,NA
"2003-10-23 00:0",0,0,0,NA,NA,NA
"2003-10-24 00:0",0,0,0,NA,NA,NA
"2003-10-27 00:0",0,0,0,NA,NA,NA
"2003-10-28 00:0",0,0,0,NA,NA,NA
"2003-10-29 00:0",0,0,0,NA,NA,NA
"2003-10-30 00:0",0,0,0,NA,NA,NA
"2003-10-31 00:0",0,0,0,NA,NA,NA
"2003-11-03 00:0",0,0,0,NA,NA,NA
"2003-11-04 00:0",0,0,0,NA,NA,NA
"2003-11-05 00:0",0,0,0,NA,NA,NA
"2003-11-06 00:0",0,0,0,NA,NA,NA
"2003-11-07 00:0",0,0,0,NA,NA,NA
"2003-11-10 00:0",0,0,0,NA,NA,NA
"2003-11-11 00:0",0,0,0,NA,NA,NA
"2003-11-12 00:0",0,0,0,NA,NA,NA
"2003-11-13 00:0",0,0,0,NA,NA,NA
"2003-11-14 00:0",0,0,0,NA,NA,NA
"2003-11-17 00:0",0,0,0,NA,NA,NA
"2003-11-18 00:0",0,0,0,NA,NA,NA
"2003-11-19 00:0",0,0,0,NA,NA,NA
"2003-11-20 00:0",0,0,0,NA,NA,NA
"2003-11-21 00:0",0,0,0,NA,NA,NA
"2003-11-24 00:0",0,0,0,NA,NA,NA
"2003-11-25 00:0",0,0,0,NA,NA,NA
"2003-11-26 00:0",0,0,0,NA,NA,NA
"2003-11-28 00:0",0,0,0,NA,NA,NA
"2003-12-01 00:0",0,0,0,NA,NA,NA
"2003-12-02 00:0",0,0,0,NA,NA,NA
"2003-12-03 00:0",0,0,0,NA,NA,NA
"2003-12-04 00:0",0,0,0,NA,NA,NA
"2003-12-05 00:0",0,0,0,NA,NA,NA
"2003-12-08 00:0",0,0,0,NA,NA,NA
"2003-12-09 00:0",0,0,0,NA,NA,NA
"2003-12-10 00:0",0,0,0,NA,NA,NA
"2003-12-11 00:0",0,0,0,NA,NA,NA
"2003-12-12 00:0",0,0,0,NA,NA,NA
"2003-12-15 00:0",0,0,0,NA,NA,NA
"2003-12-16 00:0",0,0,0,NA,NA,NA
"2003-12-17 00:0",0,0,0,NA,NA,NA
"2003-12-18 00:0",0,0,0,NA,NA,NA
"2003-12-19 00:0",0,0,0,NA,NA,NA
"2003-12-22 00:0",0,0,0,NA,NA,NA
"2003-12-23 00:0",0,0,0,NA,NA,NA
"2003-12-24 00:0",0,0,0,NA,NA,NA
"2003-12-26 00:0",0,0,0,NA,NA,NA
"2003-12-29 00:0",0,0,0,NA,NA,NA
"2003-12-30 00:0",0,0,0,NA,NA,NA
"2003-12-31 00:0",0,0,0,NA,NA,NA
"2004-01-02 00:0",1.28511804815085,-0.156589429442451,1.55598339511149,2.53235095274327,-0.325004934782786,0.710989366468768
"2004-01-05 00:0",1.26263784208248,-0.132010116626501,1.62000981332838,2.48909603714007,-0.275061007006245,0.733661143263866
"2004-01-06 00:0",1.44126689010041,-0.203015614968092,1.55799379437241,2.83648452440793,-0.424731899731631,0.707849141600865
"2004-01-07 00:0",1.4170310547093,-0.241790360493234,1.46245799982336,2.76417453622216,-0.493697547926366,0.676537136351976
"2004-01-08 00:0",1.38177039005451,-0.216101922440233,1.48606011479962,2.72703238397889,-0.441063843510326,0.684248962678562
"2004-01-09 00:0",1.33701051351824,-0.202866050583899,1.70896658272448,2.60773481884739,-0.414122258414595,0.766241253080281
"2004-01-12 00:0",1.36930908707357,-0.202769713739877,1.69598897167088,2.65182116875643,-0.412956628105242,0.76557413723767
"2004-01-13 00:0",1.34222734141102,-0.200483578673716,1.62486281227556,2.60186768712221,-0.407526162180294,0.737945277920209
"2004-01-14 00:0",1.5951298261085,0.0260838008186899,1.59366113998558,3.16265067154343,0.0547848020782719,0.726471989152807
"2004-01-15 00:0",1.54010685747768,-0.0482251966046517,1.63301351289769,3.02502891410101,-0.103766500781515,0.740761954170257
"2004-01-16 00:0",1.69120790595058,-0.140459626998995,1.58939371449285,3.3433383085684,-0.30093968258871,0.714674269742167
"2004-01-20 00:0",1.68406326190943,-0.127258225454965,1.43737532890773,3.35742461822493,-0.274123080652799,0.635235733344486
"2004-01-21 00:0",1.67379834707394,-0.124358180852821,1.41097205840607,3.33447630823337,-0.268113023045394,0.62230475284008
"2004-01-22 00:0",1.67370097391795,-0.118607540296324,1.54221232128783,3.33394191586773,-0.256706944667437,0.673608876307928
"2004-01-23 00:0",1.89625776392176,-0.0813288561866352,1.23145888428368,3.65204067512138,-0.173334642731512,0.546430766060602
"2004-01-26 00:0",2.00535683496382,-0.0106423042168842,1.1756212464285,3.87641748098245,-0.0225138837958816,0.52648101403277
"2004-01-27 00:0",1.99640821643418,0.0179423218951032,1.36269852890624,3.82491494519438,0.0376234745368056,0.612461566510498
"2004-01-28 00:0",2.16120435888464,0.802784635743957,1.02763213385357,6.10675598149556,2.64653569464624,0.676175072418418
"2004-01-29 00:0",2.0336097522717,0.819891956790944,1.0920612326123,6.05370332909911,2.91988352679743,0.793062158775421
"2004-01-30 00:0",2.02466414907975,0.802323822296722,1.01817659489876,6.01038795806648,2.88617874831672,0.752012888937509
"2004-02-02 00:0",1.98041677059893,0.790819422586565,1.03506749054686,5.98765587447809,2.84303502178573,0.761984672211496
"2004-02-03 00:0",1.9513873873836,0.746614319854407,1.12403454362308,5.98007020244114,2.73162220193292,0.808273513014158
"2004-02-04 00:0",1.92118966789399,0.744472043049606,0.876358963781053,5.87080708932603,2.73254132658735,0.536699214548066
"2004-02-05 00:0",2.0947253546456,0.701970668970336,1.01307760392135,6.51870764469333,2.71425408696466,0.597921779238064
"2004-02-06 00:0",2.14628655595524,0.664366998930916,1.06986111020456,6.72624662828918,2.56296681879618,0.630284358927471
"2004-02-09 00:0",2.13541040951568,0.623535565889075,1.01139269941333,6.66759350151772,2.39035085038633,0.59535879156011
"2004-02-10 00:0",2.1051989356659,0.628836680286462,1.03593011268404,6.54149972107327,2.42175663744306,0.612828338193591
"2004-02-11 00:0",2.06038263037188,0.795129368669219,1.09231197848949,6.40795501720192,3.1498173365278,0.638661011460841
"2004-02-12 00:0",2.08394635086255,0.780868648991026,1.08483198258301,6.571655923155,3.10442199403338,0.63483203298755
"2004-02-13 00:0",2.09848734633846,0.771287459251159,1.08719746045404,6.55878111840115,3.11169565069384,0.636127578157953
"2004-02-17 00:0",2.07007895335275,0.777638947688048,1.10083009132989,6.43181499201996,3.13992630949301,0.640102550005744
"2004-02-18 00:0",2.02717758737801,0.765518306792637,1.15493560573056,6.37900579652456,3.09379687429282,0.663278246011304
"2004-02-19 00:0",2.0239191554625,0.773853668526943,1.2119400291685,6.36207712850628,3.12415368744105,0.695103754207807
"2004-02-20 00:0",1.95891969014073,0.704555132615059,1.6300320471182,6.08505221860965,2.83408568850833,0.868788197434923
"2004-02-23 00:0",1.89956366244404,0.686371014792887,1.64544637624289,5.88009528901891,2.75390104585758,0.872748199198784
"2004-02-24 00:0",1.91033956764083,0.747164135534122,1.60536445058288,5.94696499733072,3.0082934831416,0.850538400892089
"2004-02-25 00:0",1.93936800971036,0.788301071306563,1.56538984798749,6.00593989403066,3.20386000853112,0.837181149195205
"2004-02-26 00:0",1.8455985191681,1.12571424803299,1.44574548549002,5.72597963232617,4.5094454891002,0.773502897579989
"2004-02-27 00:0",1.84093580497089,1.1254496221223,1.46057517103875,5.71834532172747,4.49585489695641,0.772700029446801
"2004-03-01 00:0",1.82274259818076,1.12648991382593,1.37422036039675,5.65449067733345,4.49535511395133,0.733226478408982
"2004-03-02 00:0",1.76197198669588,1.14259952167716,1.34201780997648,5.45404067705943,4.55515213272383,0.718114361813914
"2004-03-03 00:0",1.83188604619383,1.21935826653198,1.38458767460747,5.66304299722187,4.84663537898665,0.738264255368291
"2004-03-04 00:0",1.85916075709769,1.21323993573603,1.17257724702442,5.60746015201395,4.81109548666861,0.650620297579054
"2004-03-05 00:0",1.85144072756753,1.23458064265726,1.13042049818781,5.5831770031879,4.9300265211786,0.627755268407402
"2004-03-08 00:0",1.90680639266461,1.41432863549175,1.31590061590876,5.79713435038485,5.76435201812661,0.7035675953292
"2004-03-09 00:0",1.90114985204501,1.40109734877898,1.37873002970428,5.76018127275386,5.67295740210112,0.740049915213472
"2004-03-10 00:0",1.84440619369949,1.23250211395222,1.48119614071763,5.39909496080959,4.86245732995886,0.804191444722011
"2004-03-11 00:0",1.88628602311798,1.16307785467954,1.49384548718722,5.48741211994745,4.59776990251341,0.824438977396386
"2004-03-12 00:0",1.884458615777,1.16207037231698,1.51346062421689,5.48340097182219,4.57164594408886,0.832035006398669
"2004-03-15 00:0",1.80281946671664,1.27515253723755,1.50613635636829,5.2516009967518,4.92164324349123,0.841214868127773
"2004-03-16 00:0",1.69309252388208,1.4897180431999,1.54829009454951,4.97053086318583,5.57517462181654,0.846664536199551
"2004-03-17 00:0",1.69846215031746,1.66278742552024,1.66818012133409,4.96808213405683,6.35628493797721,0.924499432928418
"2004-03-18 00:0",1.7358996524585,1.6068043989403,1.59089609373879,5.02940875004635,6.09448726949182,0.88746823000212
"2004-03-19 00:0",1.76446996662212,1.62832079788958,1.57599021869817,5.07364523794781,6.23730385892836,0.880125162557327
"2004-03-22 00:0",1.74653316152432,1.63346669055596,1.60200392411019,5.02183289489983,6.25658652490518,0.890496187853769
"2004-03-23 00:0",1.7625079344117,1.55004143730214,1.53859052641399,5.0654216474222,5.85783554661059,0.857949294922624
"2004-03-24 00:0",1.89759162203134,1.50882965684033,1.43903841578554,5.41993179761251,5.68298426652275,0.810785363490097
"2004-03-25 00:0",1.95260303318358,1.53572064760538,1.39879953883521,5.59566353718022,5.78920699991966,0.784293135601093
"2004-03-26 00:0",1.9780292313882,1.5374830765182,1.38624293745931,5.65821497099654,5.81426998588202,0.779587258597774
"2004-03-29 00:0",1.97637108343464,1.54735582540559,1.36667358902507,5.65396142976863,5.80772066415007,0.772807835100725
"2004-03-30 00:0",1.91155297783286,1.54134752411084,1.36577942521899,5.78222615237602,5.65422379040341,0.772745573433775
"2004-03-31 00:0",1.9113580932993,1.54752734558585,1.40978793265758,5.79416777554495,5.8146397062023,0.788723426965732
"2004-04-01 00:0",1.93733093671418,1.55232732700299,1.41978702153781,5.92950038068995,5.87246721877015,0.784171746057159
"2004-04-02 00:0",1.84874603088168,1.55843371582689,1.45354336555927,5.52685213941341,5.89498725291257,0.798088755437994
