obs,pos_t_ratios,neg_t_ratios,med_vol_t_ratios
"2003-05-22 00:0",0,0,0
"2003-05-23 00:0",0,0,0
"2003-05-27 00:0",0,0,0
"2003-05-28 00:0",0,0,0
"2003-05-29 00:0",0,0,0
"2003-05-30 00:0",0,0,0
"2003-06-02 00:0",0,0,0
"2003-06-03 00:0",0,0,0
"2003-06-04 00:0",0,0,0
"2003-06-05 00:0",0,0,0
"2003-06-06 00:0",0,0,0
"2003-06-09 00:0",0,0,0
"2003-06-10 00:0",0,0,0
"2003-06-11 00:0",0,0,0
"2003-06-12 00:0",0,0,0
"2003-06-13 00:0",0,0,0
"2003-06-16 00:0",0,0,0
"2003-06-17 00:0",0,0,0
"2003-06-18 00:0",0,0,0
"2003-06-19 00:0",0,0,0
"2003-06-20 00:0",0,0,0
"2003-06-23 00:0",0,0,0
"2003-06-24 00:0",0,0,0
"2003-06-25 00:0",0,0,0
"2003-06-26 00:0",0,0,0
"2003-06-27 00:0",0,0,0
"2003-06-30 00:0",0,0,0
"2003-07-01 00:0",0,0,0
"2003-07-02 00:0",0,0,0
"2003-07-03 00:0",0,0,0
"2003-07-07 00:0",0,0,0
"2003-07-08 00:0",0,0,0
"2003-07-09 00:0",0,0,0
"2003-07-10 00:0",0,0,0
"2003-07-11 00:0",0,0,0
"2003-07-14 00:0",0,0,0
"2003-07-15 00:0",0,0,0
"2003-07-16 00:0",0,0,0
"2003-07-17 00:0",0,0,0
"2003-07-18 00:0",0,0,0
"2003-07-21 00:0",0,0,0
"2003-07-22 00:0",0,0,0
"2003-07-23 00:0",0,0,0
"2003-07-24 00:0",0,0,0
"2003-07-25 00:0",0,0,0
"2003-07-28 00:0",0,0,0
"2003-07-29 00:0",0,0,0
"2003-07-30 00:0",0,0,0
"2003-07-31 00:0",0,0,0
"2003-08-01 00:0",0,0,0
"2003-08-04 00:0",0,0,0
"2003-08-05 00:0",0,0,0
"2003-08-06 00:0",0,0,0
"2003-08-07 00:0",0,0,0
"2003-08-08 00:0",0,0,0
"2003-08-11 00:0",0,0,0
"2003-08-12 00:0",0,0,0
"2003-08-13 00:0",0,0,0
"2003-08-14 00:0",0,0,0
"2003-08-15 00:0",0,0,0
"2003-08-18 00:0",0,0,0
"2003-08-19 00:0",0,0,0
"2003-08-20 00:0",0,0,0
"2003-08-21 00:0",0,0,0
"2003-08-22 00:0",0,0,0
"2003-08-25 00:0",0,0,0
"2003-08-26 00:0",0,0,0
"2003-08-27 00:0",0,0,0
"2003-08-28 00:0",0,0,0
"2003-08-29 00:0",0,0,0
"2003-09-02 00:0",0,0,0
"2003-09-03 00:0",0,0,0
"2003-09-04 00:0",0,0,0
"2003-09-05 00:0",0,0,0
"2003-09-08 00:0",0,0,0
"2003-09-09 00:0",0,0,0
"2003-09-10 00:0",0,0,0
"2003-09-11 00:0",0,0,0
"2003-09-12 00:0",0,0,0
"2003-09-15 00:0",0,0,0
"2003-09-16 00:0",0,0,0
"2003-09-17 00:0",0,0,0
"2003-09-18 00:0",0,0,0
"2003-09-19 00:0",0,0,0
"2003-09-22 00:0",0,0,0
"2003-09-23 00:0",0,0,0
"2003-09-24 00:0",0,0,0
"2003-09-25 00:0",0,0,0
"2003-09-26 00:0",0,0,0
"2003-09-29 00:0",0,0,0
"2003-09-30 00:0",0,0,0
"2003-10-01 00:0",0,0,0
"2003-10-02 00:0",0,0,0
"2003-10-03 00:0",0,0,0
"2003-10-06 00:0",0,0,0
"2003-10-07 00:0",0,0,0
"2003-10-08 00:0",0,0,0
"2003-10-09 00:0",0,0,0
"2003-10-10 00:0",0,0,0
"2003-10-13 00:0",0,0,0
"2003-10-14 00:0",0,0,0
"2003-10-15 00:0",0,0,0
"2003-10-16 00:0",0,0,0
"2003-10-17 00:0",0,0,0
"2003-10-20 00:0",0,0,0
"2003-10-21 00:0",0,0,0
"2003-10-22 00:0",0,0,0
"2003-10-23 00:0",0,0,0
"2003-10-24 00:0",0,0,0
"2003-10-27 00:0",0,0,0
"2003-10-28 00:0",0,0,0
"2003-10-29 00:0",0,0,0
"2003-10-30 00:0",0,0,0
"2003-10-31 00:0",0,0,0
"2003-11-03 00:0",0,0,0
"2003-11-04 00:0",0,0,0
"2003-11-05 00:0",0,0,0
"2003-11-06 00:0",0,0,0
"2003-11-07 00:0",0,0,0
"2003-11-10 00:0",0,0,0
"2003-11-11 00:0",0,0,0
"2003-11-12 00:0",0,0,0
"2003-11-13 00:0",0,0,0
"2003-11-14 00:0",0,0,0
"2003-11-17 00:0",0,0,0
"2003-11-18 00:0",0,0,0
"2003-11-19 00:0",0,0,0
"2003-11-20 00:0",0,0,0
"2003-11-21 00:0",0,0,0
"2003-11-24 00:0",0,0,0
"2003-11-25 00:0",0,0,0
"2003-11-26 00:0",0,0,0
"2003-11-28 00:0",0,0,0
"2003-12-01 00:0",0,0,0
"2003-12-02 00:0",0,0,0
"2003-12-03 00:0",0,0,0
"2003-12-04 00:0",0,0,0
"2003-12-05 00:0",0,0,0
"2003-12-08 00:0",0,0,0
"2003-12-09 00:0",0,0,0
"2003-12-10 00:0",0,0,0
"2003-12-11 00:0",0,0,0
"2003-12-12 00:0",0,0,0
"2003-12-15 00:0",0,0,0
"2003-12-16 00:0",0,0,0
"2003-12-17 00:0",0,0,0
"2003-12-18 00:0",0,0,0
"2003-12-19 00:0",0,0,0
"2003-12-22 00:0",0,0,0
"2003-12-23 00:0",0,0,0
"2003-12-24 00:0",0,0,0
"2003-12-26 00:0",0,0,0
"2003-12-29 00:0",0,0,0
"2003-12-30 00:0",0,0,0
"2003-12-31 00:0",0,0,0
"2004-01-02 00:0",1.77500614553821,1.32432098300748,2.03116508431095
"2004-01-05 00:0",1.76847152661199,1.33919609831075,2.2198757893036
"2004-01-06 00:0",1.77076135764129,1.35916564269438,2.3103379254945
"2004-01-07 00:0",1.7519731157016,1.33475654147461,2.31735967610345
"2004-01-08 00:0",1.73625967551456,1.40109955621762,2.26252008047093
"2004-01-09 00:0",1.65655990802332,1.32567923340425,2.09793121433481
"2004-01-12 00:0",1.76066193139764,1.39090013744071,2.11139629146316
"2004-01-13 00:0",1.80344113352105,1.36951229067108,2.12155231504722
"2004-01-14 00:0",1.6982574795588,1.35193089984908,2.15235319668862
"2004-01-15 00:0",1.79373324021005,1.31392977331937,2.21294454142172
"2004-01-16 00:0",1.7237437582235,1.40590810976518,2.13539187484626
"2004-01-20 00:0",1.68044004938472,1.52308128607252,2.26743609875771
"2004-01-21 00:0",1.68596112773349,1.51213233321233,2.28508912558497
"2004-01-22 00:0",1.74921810673605,1.57719215747327,2.25814889577646
"2004-01-23 00:0",1.72333981825672,1.55885290840027,2.06353389186099
"2004-01-26 00:0",1.72814005673359,1.54355070803723,1.96480010595971
"2004-01-27 00:0",1.66915307246808,1.63111359838637,1.63546336994804
"2004-01-28 00:0",1.67324238098521,1.66057214372448,1.17499425142366
"2004-01-29 00:0",1.79441775098124,1.67430780086839,1.2264983184529
"2004-01-30 00:0",1.7192621712917,1.58474230625012,1.34966715170656
"2004-02-02 00:0",1.88176068701475,1.59063408675128,1.40981438679843
"2004-02-03 00:0",1.83200385745625,1.56832667118076,1.17404694310829
"2004-02-04 00:0",1.82797902298703,1.60658093778919,1.23724789503621
"2004-02-05 00:0",1.88632669645474,1.5603386896048,1.01375443630169
"2004-02-06 00:0",1.77362080167561,1.57765875412308,1.05802058999913
"2004-02-09 00:0",1.88106151605287,1.4582244233096,1.0594953276948
"2004-02-10 00:0",1.8823835178345,1.49094161889811,1.04607301029102
"2004-02-11 00:0",1.78070638379612,1.57318142689497,1.04281497703402
"2004-02-12 00:0",1.82639009063573,1.51480583023731,0.997319096402386
"2004-02-13 00:0",1.92723733323596,1.61485143243071,1.00135850799518
"2004-02-17 00:0",1.91608943366849,1.59753916072439,1.00430569045259
"2004-02-18 00:0",1.92062844353026,1.58658852012832,1.00488171808608
"2004-02-19 00:0",1.92465704241309,1.57971831917751,0.960579514517692
"2004-02-20 00:0",1.93966959063242,1.50309671409655,0.976383922950241
"2004-02-23 00:0",1.92178186890572,1.50111415145897,1.0353057189823
"2004-02-24 00:0",1.8300237349643,1.45022801896967,0.990917260295778
"2004-02-25 00:0",1.80431490663147,1.42448594744681,1.04019048095133
"2004-02-26 00:0",1.81975772550382,1.34076268554606,1.16061934750643
"2004-02-27 00:0",1.80093679947288,1.19249630459696,1.15576283865921
"2004-03-01 00:0",1.79177863029347,1.17065495340053,1.17811722443354
"2004-03-02 00:0",1.79146927683513,1.19484550248742,1.12594454304106
"2004-03-03 00:0",1.7905829280203,1.19264083983828,1.13982910959968
"2004-03-04 00:0",1.71802701602658,1.14160232602738,1.34322583411691
"2004-03-05 00:0",1.78365815692142,1.09754204111111,1.35588812756896
"2004-03-08 00:0",1.85558780462617,1.45150450756276,1.43174397360934
"2004-03-09 00:0",1.87955421020033,1.51163947748396,1.41387114685786
"2004-03-10 00:0",1.95720775564669,1.64028925826695,1.31561644205943
"2004-03-11 00:0",2.0211698012107,2.01011759117263,1.38947448008104
"2004-03-12 00:0",2.05953385707888,2.02926825435664,1.38034564625097
"2004-03-15 00:0",2.04980435926632,1.97872026101703,1.45275847860024
"2004-03-16 00:0",1.93469041312755,1.67155514699678,1.38660302349841
"2004-03-17 00:0",1.9072181452443,1.73335629963745,1.27081095901266
"2004-03-18 00:0",1.94493771045777,1.8016772582521,1.35798709791374
"2004-03-19 00:0",1.9361332312624,1.67772182760276,1.38862268126864
"2004-03-22 00:0",1.93907027629382,1.54472062541444,1.37535935845779
"2004-03-23 00:0",1.9644974522871,1.91922841342054,1.53393426183308
"2004-03-24 00:0",1.9539849108209,1.83084081067089,1.61601011729486
"2004-03-25 00:0",2.00161786776649,1.70563025173713,1.62358006342599
"2004-03-26 00:0",2.00003153927185,1.72684717545206,1.62393589292097
"2004-03-29 00:0",1.97001669341749,1.84374325212875,1.65039336527654
"2004-03-30 00:0",1.95059935734495,1.86331819128728,1.61398560531251
"2004-03-31 00:0",1.88610791983513,1.86057813625289,1.61282268759372
"2004-04-01 00:0",1.85272594109027,1.82960796008635,1.48923307688407
"2004-04-02 00:0",1.84899384778593,1.82235123341854,1.48764325398363
"2004-04-05 00:0",1.82428142223704,1.91595587933233,1.50073910378769
"2004-04-06 00:0",1.89800050594928,1.80524006673884,1.57289211449397
"2004-04-07 00:0",1.58557668548611,1.89475731002761,1.40912703257648
"2004-04-08 00:0",1.62054603486729,1.88836843485756,1.32607138985329
"2004-04-12 00:0",1.61895548104657,1.79289788710062,1.3544689263622
"2004-04-13 00:0",1.62103695937922,1.78395085765537,1.3611441514974
"2004-04-14 00:0",1.62248654705263,1.69284810860344,1.30108074983938
"2004-04-15 00:0",1.7812050910011,1.6852253946224,1.37483383209252
"2004-04-16 00:0",1.77703987609889,1.82014897905229,1.36705140783546
"2004-04-19 00:0",1.77959936844739,1.87354115267987,1.36636082504157
"2004-04-20 00:0",1.82071700575535,1.83255917773167,1.35099217513496
"2004-04-21 00:0",1.82703946266391,1.82780012675547,1.41372917241434
"2004-04-22 00:0",1.84819843602911,1.79912864464608,1.46388346129772
"2004-04-23 00:0",1.87196489496896,1.81730880339274,1.36259467009424
"2004-04-26 00:0",1.95330348649369,1.8097254687963,1.40201484746989
"2004-04-27 00:0",1.97463803437592,1.77776030334257,1.36793904926987
"2004-04-28 00:0",2.02913828035095,1.83797207867769,1.27038297118098
"2004-04-29 00:0",2.05473943237456,1.81273818170354,1.22521189158896
"2004-04-30 00:0",2.06759584905583,1.89253057291244,1.26025687719463
"2004-05-03 00:0",2.08456266737061,1.7372631084486,1.25959860534601
"2004-05-04 00:0",1.98186557677101,1.75246555880131,1.27580947442514
"2004-05-05 00:0",1.97039549710174,1.72134059102143,1.28585773357997
"2004-05-06 00:0",1.95116665159778,1.55938148292987,1.29340204506056
"2004-05-07 00:0",1.95474841343231,1.5511040521161,1.28005729308039
"2004-05-10 00:0",1.91138327116332,1.59744725201283,1.27657663847058
"2004-05-11 00:0",1.94435425525304,1.62277127343117,1.24369844798963
"2004-05-12 00:0",1.90184861830648,1.53485384412584,1.28925607691208
"2004-05-13 00:0",1.8970627949051,1.55359341580133,1.33709657104429
"2004-05-14 00:0",1.91001190334816,1.44595928982525,1.34424199273869
"2004-05-17 00:0",1.77585774527326,1.51473834176143,1.37148293734248
"2004-05-18 00:0",1.83025618219989,1.3762955012911,1.33839101108838
"2004-05-19 00:0",1.68279631804248,1.18642163073531,1.24440424480157
"2004-05-20 00:0",1.65548858604324,1.23368829075009,1.25749928356382
"2004-05-21 00:0",1.68430284416286,1.13745742172394,1.26725523651193
"2004-05-24 00:0",1.67671332825996,1.13865591316898,1.26170654635515
"2004-05-25 00:0",1.6307162505197,1.04830440719937,1.21403382271793
"2004-05-26 00:0",1.68820797940084,0.87844419894924,1.29866075147493
"2004-05-27 00:0",1.6648168253217,0.923852527166755,1.29138424734548
"2004-05-28 00:0",1.69044882925896,0.99602913017114,1.21076215584688
"2004-06-01 00:0",1.6295251419146,0.899609685070086,1.19313100356101
"2004-06-02 00:0",1.76588719841797,0.888589177612685,1.22844661252534
"2004-06-03 00:0",1.77897461517737,0.901557324789724,1.10968708439533
"2004-06-04 00:0",1.76022359560617,0.918018659195211,1.1206647923639
"2004-06-07 00:0",1.75364931716149,0.944627011281052,1.15666188319729
"2004-06-08 00:0",1.74203761137709,0.960592250911102,1.40294963653096
"2004-06-09 00:0",1.7261870555021,0.956188460871133,1.43587500056504
"2004-06-10 00:0",1.72056788353478,0.993618082324512,1.45953447034499
"2004-06-14 00:0",1.72086639093467,0.98805543212797,1.45727061805842
"2004-06-15 00:0",1.7113640261807,0.973671470181269,1.51084318086205
"2004-06-16 00:0",1.69064862775554,0.975883166094947,1.58703784871034
"2004-06-17 00:0",2.12125791887394,0.969464018057086,1.65375490118253
"2004-06-18 00:0",2.10434697147145,0.948488511355334,1.66659340252953
"2004-06-21 00:0",2.0815840614971,0.968683235012117,1.64212794096272
"2004-06-22 00:0",2.13841102282888,0.866029325807495,1.65090607306791
"2004-06-23 00:0",2.16792196113886,0.855585548346085,1.66657230984213
"2004-06-24 00:0",2.16486109250465,0.890786763280823,1.64534763748239
"2004-06-25 00:0",2.18007779260496,0.845553144830615,1.62883182053048
"2004-06-28 00:0",2.20312604203854,0.908522384260855,1.60616759500118
"2004-06-29 00:0",2.22802929788896,0.811374311459397,1.53127318721852
"2004-06-30 00:0",2.24494585581855,0.789038825208001,1.54659422230143
"2004-07-01 00:0",2.22718817700663,0.800941341191254,1.55725306453621
"2004-07-02 00:0",2.28813266330186,0.754488476986558,1.55378195838716
"2004-07-06 00:0",2.18889254116045,0.809444860283425,1.60180670909927
"2004-07-07 00:0",2.13324896170449,0.7935628363301,1.63976377912219
"2004-07-08 00:0",2.1268291290636,0.800886397118215,1.64912430220959
"2004-07-09 00:0",2.13962944679867,0.802611009563011,1.61516552173728
"2004-07-12 00:0",2.12316178690874,0.848458189435165,1.5869313669487
"2004-07-13 00:0",2.14902949464906,0.841640736725218,1.57162673303179
"2004-07-14 00:0",2.12309344497023,0.839999461350862,1.57018398004577
"2004-07-15 00:0",2.13998421899057,0.828434991864592,1.63351485990929
"2004-07-16 00:0",1.9984654296999,0.824269882331205,1.6122041418958
"2004-07-19 00:0",1.94758548218093,0.803901456945334,1.60609243512206
"2004-07-20 00:0",1.98896682696691,0.773292126507591,1.62219702351343
"2004-07-21 00:0",1.68198126984245,0.77731589283685,1.67685715230039
"2004-07-22 00:0",1.65976973075628,0.788631246039848,1.67836922506198
"2004-07-23 00:0",1.63657616060542,0.789466354120827,1.68276569962088
"2004-07-26 00:0",1.67239868038392,0.776479127365685,1.62788566995919
"2004-07-27 00:0",1.65079649003826,0.775564897794145,1.60749839350476
"2004-07-28 00:0",1.63374931210716,0.768253175650038,1.55493374712271
"2004-07-29 00:0",1.62791779055365,0.756344540268161,1.65716119584158
"2004-07-30 00:0",1.63017423082366,0.754265127838644,1.66420888151301
"2004-08-02 00:0",1.66469057879288,0.731679876609984,1.72171056643585
"2004-08-03 00:0",1.69051314221842,0.721482655254807,1.73679347078483
"2004-08-04 00:0",1.77110332327091,0.728421523043117,1.75195206032062
"2004-08-05 00:0",1.78310313805516,0.72452084242686,1.75431838365794
"2004-08-06 00:0",1.75292988334232,0.722953790303617,1.73552210710146
"2004-08-09 00:0",1.74899227107157,0.717238405379766,1.73548757926426
"2004-08-10 00:0",1.70088561910249,0.740184400186446,1.65629503325065
"2004-08-11 00:0",1.71532496555492,0.717091887200974,1.68192364121568
"2004-08-12 00:0",1.69366362834865,0.698669080980793,1.67856313176399
"2004-08-13 00:0",1.72057979124876,0.69186205895958,1.68007374704065
"2004-08-16 00:0",1.72477780210546,0.697821449451379,1.68055235608205
"2004-08-17 00:0",1.72295699856507,0.66914286290219,1.73932150879824
"2004-08-18 00:0",1.72247207878022,0.63718920483552,1.75095931578142
"2004-08-19 00:0",1.71140888416249,0.663976678830748,1.76715586296565
"2004-08-20 00:0",1.64674652711356,0.675323185051499,1.73090135653257
"2004-08-23 00:0",1.65569704665258,0.664531794597,1.68222274737827
"2004-08-24 00:0",1.68125874809464,0.647122918233056,1.63025019750891
"2004-08-25 00:0",1.76454365339122,0.578462190801084,1.62286077990048
"2004-08-26 00:0",1.81851251386311,0.61637036972503,1.61886212286871
"2004-08-27 00:0",1.86556021825622,0.629061240880602,1.654544297336
"2004-08-30 00:0",1.78153717713737,0.643803155835006,1.65828798412736
"2004-08-31 00:0",1.77645754113835,0.726973876445358,1.72778414989409
"2004-09-01 00:0",1.77784128911653,0.746388726485168,1.73458439284044
"2004-09-02 00:0",1.91189763185553,0.700547240666921,1.72842085938136
"2004-09-03 00:0",1.90958333867467,0.678569254105101,1.71459747424985
"2004-09-07 00:0",1.90186849447645,0.729829805499891,1.68026533270524
"2004-09-08 00:0",1.80421568134616,0.613321817395723,1.69483527378466
"2004-09-09 00:0",1.94083163888263,0.673060823524916,1.69195738990972
"2004-09-10 00:0",1.93833759767226,0.700886879188855,1.68100236542167
"2004-09-13 00:0",1.98997403342426,0.718037715413856,1.71248349444576
"2004-09-14 00:0",2.00319864406568,0.817558826142138,1.74726332178602
"2004-09-15 00:0",1.71550176760771,1.19075968505179,1.64700939494892
"2004-09-16 00:0",1.7151256088023,0.955261136368152,1.67348344497742
"2004-09-17 00:0",1.71159371335275,0.949067239342919,1.68934327404553
"2004-09-20 00:0",1.74143639127908,0.992898298122804,1.68307376146185
"2004-09-21 00:0",1.75875353258826,1.04793219330052,1.72993183120291
"2004-09-22 00:0",1.7522971621342,1.00735926116481,1.69393242488389
"2004-09-23 00:0",1.75820158886257,0.93806920987524,1.67419408365299
"2004-09-24 00:0",1.694660407365,0.989861472284746,1.78247908723868
"2004-09-27 00:0",1.51985870019934,1.11401897905845,1.80256702286965
"2004-09-28 00:0",1.55956787036522,0.874325631439887,1.86336796617055
"2004-09-29 00:0",1.57134258935978,0.835227318591335,1.90734094973996
"2004-09-30 00:0",1.47821201064365,0.842161858952505,2.04340193382011
"2004-10-01 00:0",1.43017803884657,0.756116619338521,2.04941708859007
"2004-10-04 00:0",1.42116536318356,0.697847785260282,2.06520058391901
"2004-10-05 00:0",1.26816213603119,0.952714921778667,2.11629757372279
"2004-10-06 00:0",1.52953799403253,0.766632083406044,2.08012438436662
"2004-10-07 00:0",1.6039847549307,0.809196884690862,2.06202657327714
"2004-10-08 00:0",1.52830431109259,0.830939067301856,2.14879385793536
"2004-10-11 00:0",1.54023804235304,0.877911216749172,2.240094395096
"2004-10-12 00:0",1.52935268632967,0.885183777606777,2.30487860320169
"2004-10-13 00:0",1.57441148965547,0.881475683720001,2.32951740696052
"2004-10-14 00:0",1.59117282300151,0.910425296923098,2.27772440471617
"2004-10-15 00:0",1.79573221558628,0.896267441149548,2.4004047541105
"2004-10-18 00:0",1.78986807647432,0.927084161700033,2.3748592715838
"2004-10-19 00:0",1.74870343078909,0.905887337024845,2.43632034221001
"2004-10-20 00:0",1.74530882420455,0.933452944272623,2.40629245853771
"2004-10-21 00:0",1.69429376292778,0.92066812732918,2.75746894965859
"2004-10-22 00:0",1.45571249119432,0.900859843310629,2.79034128280583
"2004-10-25 00:0",1.45064496809625,0.932334042885243,2.71839074660694
"2004-10-26 00:0",1.39868658013279,0.833477346557825,2.73818984402617
"2004-10-27 00:0",1.34335446891045,0.877736236543323,2.63901698951104
"2004-10-28 00:0",1.34931565477289,0.890809465001695,2.66682512409018
"2004-10-29 00:0",1.40515271334481,0.882041342763124,2.62743363810484
"2004-11-01 00:0",1.2795301470884,1.02858655873995,2.55893035558426
"2004-11-02 00:0",1.68157041168797,1.39202799090572,1.47819358490718
"2004-11-03 00:0",1.68511587132952,1.27085457783219,1.19479137512924
"2004-11-04 00:0",1.58736006552144,1.29477474204786,1.53666914398137
"2004-11-05 00:0",1.52445765320669,1.19755948254464,1.42999771917009
"2004-11-08 00:0",1.49747521193831,1.16599949101381,1.46421994449154
"2004-11-09 00:0",1.43927184069687,1.16813291091441,1.44604520091914
"2004-11-10 00:0",1.35197897190273,1.17694775895676,1.47078758613563
"2004-11-11 00:0",1.36594350586977,1.15516080275376,1.42311632866123
"2004-11-12 00:0",1.3309878422453,1.20160146254287,1.40114998026152
"2004-11-15 00:0",1.56735932809141,1.23991616970329,1.42804443382368
"2004-11-16 00:0",1.55276355222651,1.21678679328006,1.43969206642715
"2004-11-17 00:0",1.55503194079942,1.26972774268235,1.51251306321019
"2004-11-18 00:0",1.55216264043635,1.26301201246931,1.49299430593039
"2004-11-19 00:0",1.53989105323915,1.1384881045096,1.46494365679919
"2004-11-22 00:0",1.4967008326306,1.10750342130239,1.42677801281374
"2004-11-23 00:0",1.49215883467662,1.1162371712627,1.44765200462965
"2004-11-24 00:0",1.51232804122297,1.1128054244881,1.4405566406029
"2004-11-26 00:0",1.5230464466518,1.13524396350467,1.41900297849547
"2004-11-29 00:0",1.48024304310662,1.13217242233101,1.28655826531884
"2004-11-30 00:0",1.48994663846852,1.13160073259924,1.31073763304969
"2004-12-01 00:0",1.57023040500317,1.21107205088867,1.1805677995157
"2004-12-02 00:0",1.57793165494913,1.20528029891593,1.14909442156649
"2004-12-03 00:0",1.5265417445754,1.1935467365778,1.14079393598945
"2004-12-06 00:0",1.46088007337534,1.22200155566861,1.10617144094502
"2004-12-07 00:0",1.43187698059978,1.20156924304086,1.12064202569842
"2004-12-08 00:0",1.40344937679096,1.23751186698688,1.322015934056
"2004-12-09 00:0",1.32588654791449,1.1827156459159,1.37543343311724
"2004-12-10 00:0",1.32196121446977,1.02813683829517,1.44700361457269
"2004-12-13 00:0",1.39206655827195,1.0046937547296,1.38911648487302
"2004-12-14 00:0",1.34912558265746,0.997515881258216,1.3834078481206
"2004-12-15 00:0",1.26850407853228,1.03221380563205,1.3358058959811
"2004-12-16 00:0",1.46722854422057,1.04157248581086,1.25805665087602
"2004-12-17 00:0",1.44324012552607,1.07658744730891,1.23684031054747
"2004-12-20 00:0",1.48882190294902,1.07052005344228,1.27171451181045
"2004-12-21 00:0",1.51083274931244,1.07049540683869,1.30844515138233
"2004-12-22 00:0",1.51238583111107,1.06527334033121,1.31507683128997
"2004-12-23 00:0",1.43644422317617,1.01218241604355,1.31072774774782
"2004-12-27 00:0",1.4346219668857,1.00950785062533,1.28387442724347
"2004-12-28 00:0",1.43019122953766,1.01113055005072,1.29898564747456
"2004-12-29 00:0",1.42052318491317,1.00941225855167,1.3139711110308
"2004-12-30 00:0",1.41857561032228,0.9944478928125,1.33053199122514
"2004-12-31 00:0",1.44732260587541,1.01610438418039,1.33341168423274
"2005-01-03 00:0",1.46109215255376,1.01938063493222,1.32727139930251
"2005-01-04 00:0",1.44359309552957,1.02223480118211,1.34257811911309
"2005-01-05 00:0",1.3745356529255,0.975300866834648,1.34989049710724
"2005-01-06 00:0",1.33024490364352,0.968730392862728,1.3041579599711
"2005-01-07 00:0",1.30485073734645,1.07160918342794,1.25526993933324
"2005-01-10 00:0",1.27362229361166,1.05586580982276,1.25507118364196
"2005-01-11 00:0",1.39149708310794,1.03270646586741,1.29611812025276
"2005-01-12 00:0",1.3642577235144,1.03199818104727,1.3040894128282
"2005-01-13 00:0",1.36137935839087,1.03022048457224,1.29508490809249
