obs,neg_p_values_lag_one,neg_p_values_lag_two,neg_p_values_lag_three,neg_p_values_lag_four,neg_p_values_lag_five
"2003-03-24 00:0",0,0,0,0,0
"2003-03-25 00:0",0,0,0,0,0
"2003-03-26 00:0",0,0,0,0,0
"2003-03-27 00:0",0,0,0,0,0
"2003-03-28 00:0",0,0,0,0,0
"2003-03-31 00:0",0,0,0,0,0
"2003-04-01 00:0",0,0,0,0,0
"2003-04-02 00:0",0,0,0,0,0
"2003-04-03 00:0",0,0,0,0,0
"2003-04-04 00:0",0,0,0,0,0
"2003-04-07 00:0",0,0,0,0,0
"2003-04-08 00:0",0,0,0,0,0
"2003-04-09 00:0",0,0,0,0,0
"2003-04-10 00:0",0,0,0,0,0
"2003-04-11 00:0",0,0,0,0,0
"2003-04-14 00:0",0,0,0,0,0
"2003-04-15 00:0",0,0,0,0,0
"2003-04-16 00:0",0,0,0,0,0
"2003-04-17 00:0",0,0,0,0,0
"2003-04-21 00:0",0,0,0,0,0
"2003-04-22 00:0",0,0,0,0,0
"2003-04-23 00:0",0,0,0,0,0
"2003-04-24 00:0",0,0,0,0,0
"2003-04-25 00:0",0,0,0,0,0
"2003-04-28 00:0",0,0,0,0,0
"2003-04-29 00:0",0,0,0,0,0
"2003-04-30 00:0",0,0,0,0,0
"2003-05-01 00:0",0,0,0,0,0
"2003-05-02 00:0",0,0,0,0,0
"2003-05-05 00:0",0,0,0,0,0
"2003-05-06 00:0",0,0,0,0,0
"2003-05-07 00:0",0,0,0,0,0
"2003-05-08 00:0",0,0,0,0,0
"2003-05-09 00:0",0,0,0,0,0
"2003-05-12 00:0",0,0,0,0,0
"2003-05-13 00:0",0,0,0,0,0
"2003-05-14 00:0",0,0,0,0,0
"2003-05-15 00:0",0,0,0,0,0
"2003-05-16 00:0",0,0,0,0,0
"2003-05-19 00:0",0,0,0,0,0
"2003-05-20 00:0",0,0,0,0,0
"2003-05-21 00:0",0,0,0,0,0
"2003-05-22 00:0",0,0,0,0,0
"2003-05-23 00:0",0,0,0,0,0
"2003-05-27 00:0",0,0,0,0,0
"2003-05-28 00:0",0,0,0,0,0
"2003-05-29 00:0",0,0,0,0,0
"2003-05-30 00:0",0,0,0,0,0
"2003-06-02 00:0",0,0,0,0,0
"2003-06-03 00:0",0,0,0,0,0
"2003-06-04 00:0",0,0,0,0,0
"2003-06-05 00:0",0,0,0,0,0
"2003-06-06 00:0",0,0,0,0,0
"2003-06-09 00:0",0,0,0,0,0
"2003-06-10 00:0",0,0,0,0,0
"2003-06-11 00:0",0,0,0,0,0
"2003-06-12 00:0",0,0,0,0,0
"2003-06-13 00:0",0,0,0,0,0
"2003-06-16 00:0",0,0,0,0,0
"2003-06-17 00:0",0,0,0,0,0
"2003-06-18 00:0",0,0,0,0,0
"2003-06-19 00:0",0,0,0,0,0
"2003-06-20 00:0",0,0,0,0,0
"2003-06-23 00:0",0,0,0,0,0
"2003-06-24 00:0",0,0,0,0,0
"2003-06-25 00:0",0,0,0,0,0
"2003-06-26 00:0",0,0,0,0,0
"2003-06-27 00:0",0,0,0,0,0
"2003-06-30 00:0",0,0,0,0,0
"2003-07-01 00:0",0,0,0,0,0
"2003-07-02 00:0",0,0,0,0,0
"2003-07-03 00:0",0,0,0,0,0
"2003-07-07 00:0",0,0,0,0,0
"2003-07-08 00:0",0,0,0,0,0
"2003-07-09 00:0",0,0,0,0,0
"2003-07-10 00:0",0,0,0,0,0
"2003-07-11 00:0",0,0,0,0,0
"2003-07-14 00:0",0,0,0,0,0
"2003-07-15 00:0",0,0,0,0,0
"2003-07-16 00:0",0,0,0,0,0
"2003-07-17 00:0",0,0,0,0,0
"2003-07-18 00:0",0,0,0,0,0
"2003-07-21 00:0",0,0,0,0,0
"2003-07-22 00:0",0,0,0,0,0
"2003-07-23 00:0",0,0,0,0,0
"2003-07-24 00:0",0,0,0,0,0
"2003-07-25 00:0",0,0,0,0,0
"2003-07-28 00:0",0,0,0,0,0
"2003-07-29 00:0",0,0,0,0,0
"2003-07-30 00:0",0,0,0,0,0
"2003-07-31 00:0",0,0,0,0,0
"2003-08-01 00:0",0,0,0,0,0
"2003-08-04 00:0",0,0,0,0,0
"2003-08-05 00:0",0,0,0,0,0
"2003-08-06 00:0",0,0,0,0,0
"2003-08-07 00:0",0,0,0,0,0
"2003-08-08 00:0",0,0,0,0,0
"2003-08-11 00:0",0,0,0,0,0
"2003-08-12 00:0",0,0,0,0,0
"2003-08-13 00:0",0,0,0,0,0
"2003-08-14 00:0",0,0,0,0,0
"2003-08-15 00:0",0,0,0,0,0
"2003-08-18 00:0",0,0,0,0,0
"2003-08-19 00:0",0,0,0,0,0
"2003-08-20 00:0",0,0,0,0,0
"2003-08-21 00:0",0,0,0,0,0
"2003-08-22 00:0",0,0,0,0,0
"2003-08-25 00:0",0,0,0,0,0
"2003-08-26 00:0",0,0,0,0,0
"2003-08-27 00:0",0,0,0,0,0
"2003-08-28 00:0",0,0,0,0,0
"2003-08-29 00:0",0,0,0,0,0
"2003-09-02 00:0",0,0,0,0,0
"2003-09-03 00:0",0,0,0,0,0
"2003-09-04 00:0",0,0,0,0,0
"2003-09-05 00:0",0,0,0,0,0
"2003-09-08 00:0",0,0,0,0,0
"2003-09-09 00:0",0,0,0,0,0
"2003-09-10 00:0",0,0,0,0,0
"2003-09-11 00:0",0,0,0,0,0
"2003-09-12 00:0",0,0,0,0,0
"2003-09-15 00:0",0,0,0,0,0
"2003-09-16 00:0",0,0,0,0,0
"2003-09-17 00:0",0,0,0,0,0
"2003-09-18 00:0",0,0,0,0,0
"2003-09-19 00:0",0,0,0,0,0
"2003-09-22 00:0",0,0,0,0,0
"2003-09-23 00:0",0,0,0,0,0
"2003-09-24 00:0",0,0,0,0,0
"2003-09-25 00:0",0,0,0,0,0
"2003-09-26 00:0",0,0,0,0,0
"2003-09-29 00:0",0,0,0,0,0
"2003-09-30 00:0",0,0,0,0,0
"2003-10-01 00:0",0,0,0,0,0
"2003-10-02 00:0",0,0,0,0,0
"2003-10-03 00:0",0,0,0,0,0
"2003-10-06 00:0",0,0,0,0,0
"2003-10-07 00:0",0,0,0,0,0
"2003-10-08 00:0",0,0,0,0,0
"2003-10-09 00:0",0,0,0,0,0
"2003-10-10 00:0",0,0,0,0,0
"2003-10-13 00:0",0,0,0,0,0
"2003-10-14 00:0",0,0,0,0,0
"2003-10-15 00:0",0,0,0,0,0
"2003-10-16 00:0",0,0,0,0,0
"2003-10-17 00:0",0,0,0,0,0
"2003-10-20 00:0",0,0,0,0,0
"2003-10-21 00:0",0,0,0,0,0
"2003-10-22 00:0",0,0,0,0,0
"2003-10-23 00:0",0,0,0,0,0
"2003-10-24 00:0",0,0,0,0,0
"2003-10-27 00:0",0,0,0,0,0
"2003-10-28 00:0",0,0,0,0,0
"2003-10-29 00:0",0,0,0,0,0
"2003-10-30 00:0",0,0,0,0,0
"2003-10-31 00:0",0,0,0,0,0
"2003-11-03 00:0",0,0,0,0,0
"2003-11-04 00:0",0,0,0,0,0
"2003-11-05 00:0",0,0,0,0,0
"2003-11-06 00:0",0,0,0,0,0
"2003-11-07 00:0",0,0,0,0,0
"2003-11-10 00:0",0,0,0,0,0
"2003-11-11 00:0",0,0,0,0,0
"2003-11-12 00:0",0,0,0,0,0
"2003-11-13 00:0",0,0,0,0,0
"2003-11-14 00:0",0,0,0,0,0
"2003-11-17 00:0",0,0,0,0,0
"2003-11-18 00:0",0,0,0,0,0
"2003-11-19 00:0",0,0,0,0,0
"2003-11-20 00:0",0,0,0,0,0
"2003-11-21 00:0",0,0,0,0,0
"2003-11-24 00:0",0,0,0,0,0
"2003-11-25 00:0",0,0,0,0,0
"2003-11-26 00:0",0,0,0,0,0
"2003-11-28 00:0",0,0,0,0,0
"2003-12-01 00:0",0,0,0,0,0
"2003-12-02 00:0",0,0,0,0,0
"2003-12-03 00:0",0,0,0,0,0
"2003-12-04 00:0",0,0,0,0,0
"2003-12-05 00:0",0,0,0,0,0
"2003-12-08 00:0",0,0,0,0,0
"2003-12-09 00:0",0,0,0,0,0
"2003-12-10 00:0",0,0,0,0,0
"2003-12-11 00:0",0,0,0,0,0
"2003-12-12 00:0",0,0,0,0,0
"2003-12-15 00:0",0,0,0,0,0
"2003-12-16 00:0",0,0,0,0,0
"2003-12-17 00:0",0,0,0,0,0
"2003-12-18 00:0",0,0,0,0,0
"2003-12-19 00:0",0,0,0,0,0
"2003-12-22 00:0",0,0,0,0,0
"2003-12-23 00:0",0,0,0,0,0
"2003-12-24 00:0",0,0,0,0,0
"2003-12-26 00:0",0,0,0,0,0
"2003-12-29 00:0",0,0,0,0,0
"2003-12-30 00:0",0,0,0,0,0
"2003-12-31 00:0",0,0,0,0,0
"2004-01-02 00:0",0.338644328386354,0.1600762759311,0.321851676839598,0.660150675025135,0.290662033462049
"2004-01-05 00:0",0.289343812356738,0.173648020808626,0.297359989535602,0.715840199685326,0.208709845830318
"2004-01-06 00:0",0.254173181809348,0.201553136990876,0.286368109940785,0.736756643091796,0.234295442340633
"2004-01-07 00:0",0.263610644157835,0.167845930034176,0.311739011525949,0.724956856226641,0.22826636709031
"2004-01-08 00:0",0.25555432689247,0.172014298372685,0.267309903318834,0.749422364819276,0.233368072079007
"2004-01-09 00:0",0.271416847127043,0.159071824681915,0.285115187501271,0.642540532514745,0.200454194058251
"2004-01-12 00:0",0.203722551430703,0.173487451349851,0.273951806290271,0.597177867087788,0.17758418489681
"2004-01-13 00:0",0.203027098981867,0.195547181385354,0.260669316457244,0.596209453209188,0.160682166354997
"2004-01-14 00:0",0.332013655071287,0.194534199700534,0.519679055629395,0.553985851647543,0.168379833210573
"2004-01-15 00:0",0.352029421569469,0.160838647953164,0.514842538720447,0.504645471345345,0.164894428957647
"2004-01-16 00:0",0.349692411589718,0.205734245059978,0.617333759973636,0.500544328571998,0.120768074410651
"2004-01-20 00:0",0.382625448575309,0.198653757086811,0.395419641630119,0.498254655291571,0.115210034694127
"2004-01-21 00:0",0.361612380548479,0.199427130388424,0.389133332942031,0.458444199985941,0.138976846243837
"2004-01-22 00:0",0.356200775540287,0.187746616637482,0.391154874344748,0.475938353530023,0.121385031420487
"2004-01-23 00:0",0.421345226044552,0.170656215246012,0.42214263603879,0.472196563888229,0.0990294593109459
"2004-01-26 00:0",0.456888855782216,0.160367498001242,0.433628363649057,0.485540746526818,0.101132157136675
"2004-01-27 00:0",0.447747814709446,0.286578346174893,0.359437590984349,0.538894405118386,0.083039725254959
"2004-01-28 00:0",0.194797555739033,0.279711765617219,0.199105435161189,0.652441879515975,0.244560955444666
"2004-01-29 00:0",0.215284098468248,0.263938969368729,0.21403585820752,0.671920496147815,0.15239854755901
"2004-01-30 00:0",0.223934503395573,0.312901617200787,0.216777108380374,0.71719769501474,0.177748750666818
"2004-02-02 00:0",0.227002221068309,0.263517622450019,0.176350061896225,0.696738345153165,0.244120886678838
"2004-02-03 00:0",0.219223994632573,0.321142208995991,0.192205958707962,0.689949430574321,0.236306901935273
"2004-02-04 00:0",0.229176287412622,0.344721650212741,0.183657986618088,0.663882695705781,0.275851422476599
"2004-02-05 00:0",0.232860709917193,0.362451278074069,0.204639680304425,0.537773795622965,0.254254432810504
"2004-02-06 00:0",0.218003168085616,0.401532823653728,0.210397949224281,0.578027850444181,0.346397362807451
"2004-02-09 00:0",0.219578008133186,0.436931351985358,0.248515725810917,0.545175844031097,0.384187079325377
"2004-02-10 00:0",0.247353365465468,0.432053203233741,0.24282781823456,0.494662432131607,0.359960866603463
"2004-02-11 00:0",0.248027467486001,0.454181706642834,0.240186820076056,0.550260298865704,0.397746052106585
"2004-02-12 00:0",0.223700429003985,0.553184236686481,0.274190678553046,0.540454204330616,0.428592264774443
"2004-02-13 00:0",0.210428398936291,0.644314942133147,0.230612416429077,0.486570011599518,0.418456210599692
"2004-02-17 00:0",0.211634924267474,0.643175953248287,0.240996555471121,0.492480378592142,0.433934772112904
"2004-02-18 00:0",0.213126351004362,0.646332723752346,0.243071180278058,0.517437899444731,0.488134588618257
"2004-02-19 00:0",0.207317756028799,0.656943660992116,0.246882232722428,0.505808129010539,0.441515885741153
"2004-02-20 00:0",0.221019904052127,0.625228348259562,0.281327697209119,0.481299186036245,0.281236145825476
"2004-02-23 00:0",0.217927799276018,0.608389762531865,0.275215325693873,0.495367374592988,0.296643587134552
"2004-02-24 00:0",0.189738205376533,0.614087303752759,0.282396839211328,0.490268241618792,0.293703756397735
"2004-02-25 00:0",0.203604994806961,0.681088503200954,0.281421896998272,0.484590893229272,0.299152630802392
"2004-02-26 00:0",0.200514101226602,0.734958970056251,0.289466287002849,0.485044020236731,0.302793491615326
"2004-02-27 00:0",0.219426772007192,0.751539012336604,0.336349097354185,0.655438852723931,0.317409467856811
"2004-03-01 00:0",0.221045086938269,0.771089063045566,0.346804506711511,0.676408683628581,0.214027560185193
"2004-03-02 00:0",0.221813527418261,0.767171295286117,0.339057260029166,0.672991177981256,0.221497740295143
"2004-03-03 00:0",0.221115540162493,0.786260190424245,0.33828327740387,0.66575251665195,0.220098743122986
"2004-03-04 00:0",0.230033913264001,0.799418100312993,0.402904854578283,0.651044502787356,0.233544043741878
"2004-03-05 00:0",0.23566737277482,0.766161980519707,0.427280163053572,0.650237303901615,0.238689688055701
"2004-03-08 00:0",0.457989597705644,0.884273506375297,0.50009112714284,0.745949100827364,0.0256149285943833
"2004-03-09 00:0",0.437838943309681,0.805274754501805,0.53707100297496,0.72780084531004,0.0153914519991936
"2004-03-10 00:0",0.338891140841219,0.983361438736323,0.830513555981231,0.929798028171475,0.0107899148696456
"2004-03-11 00:0",0.295626592601352,0.8407098436597,0.72972097571036,0.873301814242571,0.00561202158904324
"2004-03-12 00:0",0.307911762777988,0.89766583488382,0.742554299607439,0.878557097618017,0.00599226655656445
"2004-03-15 00:0",0.303922831802473,0.959923227209583,0.796749890210588,0.871752601324897,0.00732325471891884
"2004-03-16 00:0",0.351186226186239,0.711847221701579,0.735735142470069,0.998698426014437,0.0125629541127728
"2004-03-17 00:0",0.326176140033037,0.683064599617219,0.835990044728611,0.993259735360816,0.0116553756051413
"2004-03-18 00:0",0.342545590065978,0.670366895370292,0.82902666623634,0.971140863388871,0.00918886976271269
"2004-03-19 00:0",0.313629223837767,0.64174859911078,0.900614707582338,0.986358648657843,0.0165118960601046
"2004-03-22 00:0",0.371960804642794,0.738843348303846,0.949317433099421,0.930357602810249,0.0224620250709367
"2004-03-23 00:0",0.371877691579251,0.635566611105061,0.832747626858648,0.982395702451636,0.0158287289467069
"2004-03-24 00:0",0.40700681295416,0.628263510002187,0.778187723122728,0.940973928356845,0.0133235684492473
"2004-03-25 00:0",0.384660676204868,0.713453992207222,0.805676700547612,0.968421123905346,0.0128585139050404
"2004-03-26 00:0",0.377240701275016,0.689412944593152,0.778990483262729,0.96026985231145,0.0102072686881243
"2004-03-29 00:0",0.391264596419966,0.647093571048817,0.810830504990712,0.964019584456304,0.0110236856857187
"2004-03-30 00:0",0.293273448353643,0.629853710129078,0.826275592007594,0.999445712388753,0.0148392726296644
"2004-03-31 00:0",0.275485886558784,0.901961703188078,0.862343375119786,0.97907276826148,0.0113383949519972
"2004-04-01 00:0",0.269074478074055,0.992646845357852,0.636722724333288,0.942500484425498,0.0102930783215263
"2004-04-02 00:0",0.270656387567278,0.992537518263993,0.637423131427091,0.939941744632225,0.0105085309010586
"2004-04-05 00:0",0.269272243003511,0.993720782784353,0.631525835554304,0.968324489918382,0.00970388315391797
"2004-04-06 00:0",0.280088713507918,0.998893693625013,0.635326715298725,0.984159362193293,0.0144355507143392
"2004-04-07 00:0",0.275714502811034,0.893925681825077,0.700512529718063,0.958962291174583,0.0112144262714167
"2004-04-08 00:0",0.259072536442417,0.904627065270396,0.730182713289008,0.935504804769264,0.0101438252258701
"2004-04-12 00:0",0.261461500119816,0.882515137775808,0.755929724472412,0.950977068244937,0.0110749662778434
"2004-04-13 00:0",0.261679854784728,0.879153673475904,0.762545744117756,0.925638271952794,0.0116194811089226
"2004-04-14 00:0",0.257892080422536,0.839423472827475,0.778875821753093,0.896783302412804,0.0175100384183086
"2004-04-15 00:0",0.252863826724576,0.834545672401056,0.772525159283742,0.895124455486391,0.0174019773948734
"2004-04-16 00:0",0.262075661203953,0.820969723234532,0.76490375542694,0.878521641511071,0.0168068366225561
"2004-04-19 00:0",0.261188571866908,0.823754229531892,0.764399622362586,0.879763286083861,0.0152860895920245
"2004-04-20 00:0",0.256255530293637,0.817222284829914,0.622687019726122,0.951564539642769,0.0103015457238011
"2004-04-21 00:0",0.246089659128403,0.823682288148903,0.626539097572737,0.991685609372314,0.0116240986792898
"2004-04-22 00:0",0.260305672604376,0.843788074391447,0.619561606666807,0.984454680588928,0.0129193926697337
"2004-04-23 00:0",0.288522421915053,0.672235233175456,0.592451161934805,0.994782393779549,0.0114043743097267
"2004-04-26 00:0",0.278257385076175,0.627480017390925,0.584357705730367,0.987807720222858,0.0123638248459255
"2004-04-27 00:0",0.267028262805079,0.624767565900417,0.588918341155967,0.880880068674175,0.0143699532618649
"2004-04-28 00:0",0.272512176567657,0.658451896079558,0.591392315855003,0.881663784615856,0.00848305722821191
"2004-04-29 00:0",0.278054195261673,0.651286283876161,0.580113914920434,0.880534528539451,0.00878772680800071
"2004-04-30 00:0",0.284209964607687,0.640700798875237,0.597167887186454,0.987583842822849,0.00730293932224679
"2004-05-03 00:0",0.282110960563173,0.643703462639541,0.613241277439369,0.99912212308223,0.0117668358909036
"2004-05-04 00:0",0.274529753106646,0.65520897257033,0.640136635050488,0.958407377434441,0.0124823790167826
"2004-05-05 00:0",0.283900581240326,0.659518931864764,0.638216652024634,0.96024869426026,0.0124378140460168
"2004-05-06 00:0",0.327348073812927,0.588905754380693,0.70911584906706,0.985082555315629,0.0187506869884255
"2004-05-07 00:0",0.326688331444579,0.566105872084914,0.734828112085814,0.991048969035802,0.0183156154889123
"2004-05-10 00:0",0.340865963995278,0.569073291808184,0.752482857120595,0.995292688785829,0.0147608343522675
"2004-05-11 00:0",0.349023146322109,0.528243683540123,0.749332094031841,0.978890316689287,0.0137288073218916
"2004-05-12 00:0",0.390656021638201,0.556355840273101,0.685465313862791,0.982807820879308,0.0167192328096901
"2004-05-13 00:0",0.381713310005362,0.548244019424156,0.699673852216035,0.938424478815352,0.0173566515967945
"2004-05-14 00:0",0.407013121570075,0.525352908565246,0.675123650061036,0.961481924764129,0.0255084178280217
"2004-05-17 00:0",0.415813148397262,0.522839671489353,0.677119658758777,0.880324023508585,0.0255739078581764
"2004-05-18 00:0",0.414003826034819,0.550534826855275,0.613034499303561,0.918848596821965,0.0453641064467542
"2004-05-19 00:0",0.426108503449105,0.556576571324906,0.595272802070567,0.880698594684812,0.0438937677837278
"2004-05-20 00:0",0.421451981085649,0.558077613624247,0.596486186401347,0.870093997873735,0.039257604107008
"2004-05-21 00:0",0.459275221420007,0.681758279157664,0.579056611599118,0.870694497076372,0.040017384610537
"2004-05-24 00:0",0.461507258179303,0.707568333453649,0.586525588537133,0.869543540567521,0.0396139409364657
"2004-05-25 00:0",0.480561153762329,0.701588441259472,0.62647184532426,0.948870920169499,0.0435251781280778
"2004-05-26 00:0",0.504090309697759,0.741548775515177,0.66756246352681,0.954189666119105,0.0751554278392509
"2004-05-27 00:0",0.49665005382177,0.70866495830964,0.712098820471437,0.960070680163281,0.0607716186715029
"2004-05-28 00:0",0.35388407567199,0.685940032234759,0.74807623087726,0.999770424826076,0.0557296583745804
"2004-06-01 00:0",0.379956586984573,0.808794221736612,0.752896607013084,0.955300471553915,0.0523982919473956
"2004-06-02 00:0",0.374423208880014,0.82060213853264,0.826481924173939,0.964098324153305,0.0406181775115082
"2004-06-03 00:0",0.363210866334623,0.820072799255547,0.847217691657277,0.987421385960474,0.040429456359762
"2004-06-04 00:0",0.362434808825075,0.7591681273745,0.852623852204446,0.964409672932389,0.0416823169472904
"2004-06-07 00:0",0.393960976237278,0.724923314821032,0.820368654079679,0.957758268921716,0.0319146699174023
"2004-06-08 00:0",0.398885949415344,0.696793139940105,0.829055237230146,0.989695893897073,0.030399163758248
"2004-06-09 00:0",0.396574350535371,0.700992257706029,0.817977269522573,0.994961502147866,0.0327597271784979
"2004-06-10 00:0",0.410634222799173,0.690876243212837,0.823286957593936,0.96020872990912,0.0309851401779569
"2004-06-14 00:0",0.409117831854025,0.687216128974442,0.802047977925678,0.922453356918976,0.0231206488391531
"2004-06-15 00:0",0.392807592841112,0.694320895649604,0.7332785567628,0.94143489732781,0.0265119274327913
"2004-06-16 00:0",0.380023702544837,0.708374985266879,0.729938700477754,0.987826339956888,0.0290759765142094
"2004-06-17 00:0",0.39138959526247,0.785885947454406,0.708955190101795,0.978536293678879,0.0340810488521384
"2004-06-18 00:0",0.416098188772874,0.804603279393816,0.714221678362756,0.986379162395314,0.0341664495963008
"2004-06-21 00:0",0.415161868970866,0.849538200160711,0.708438964450545,0.949235131640187,0.0315388800191941
"2004-06-22 00:0",0.403391487235028,0.793594608477117,0.696966040941152,0.916855836664189,0.0442829545557961
"2004-06-23 00:0",0.407355638940099,0.804629168836934,0.677804016624944,0.929764438781794,0.0471199167058863
"2004-06-24 00:0",0.405704212779589,0.772550102085302,0.700042485650335,0.943126480142079,0.0409985435902987
"2004-06-25 00:0",0.420854466545702,0.795469017873298,0.690268185904291,0.911869363642325,0.0323780363271855
"2004-06-28 00:0",0.434482478294214,0.767285207286935,0.680362524031607,0.87423250844645,0.0244457666002887
"2004-06-29 00:0",0.554308411052682,0.836906565543546,0.621854196939029,0.854563786947824,0.0280573070337127
"2004-06-30 00:0",0.546409773753705,0.805724363742625,0.610809934330123,0.848479456735606,0.0267022740290369
"2004-07-01 00:0",0.547211274216619,0.773451101509895,0.549121729431292,0.822489501076742,0.0249142506193072
"2004-07-02 00:0",0.549579807247208,0.781279164700225,0.599238991181839,0.988211149086386,0.0214947586860839
"2004-07-06 00:0",0.468904750982551,0.772169493001439,0.604138811480697,0.912912090976627,0.0706124546865591
"2004-07-07 00:0",0.494134351952677,0.942536731104532,0.620160704145443,0.919959058755563,0.0445260611305007
"2004-07-08 00:0",0.487138693956378,0.935513140677511,0.648772412472093,0.921124817503294,0.0445985313890919
"2004-07-09 00:0",0.493727433825597,0.883726020310798,0.609283006209051,0.815760473860949,0.0462219714496168
"2004-07-12 00:0",0.488978957982609,0.857462535428272,0.620191982396019,0.76389034753908,0.0651099750672977
"2004-07-13 00:0",0.514868317288441,0.837020130234391,0.644288985827137,0.753901370336669,0.0845155926150086
"2004-07-14 00:0",0.516435528352119,0.767060071756283,0.625343377251391,0.763922411638703,0.0752590020894084
"2004-07-15 00:0",0.52458728531604,0.765618358121458,0.664143821006533,0.751981551643859,0.0711793422933874
"2004-07-16 00:0",0.551462263264288,0.741815790689197,0.659370631054801,0.829039587779172,0.0769713752079475
"2004-07-19 00:0",0.552407749495172,0.797703150204418,0.699992212784012,0.818426643946544,0.0798433080383349
"2004-07-20 00:0",0.578317633095428,0.795241688958044,0.631454926330482,0.857179438785798,0.0825987508183412
"2004-07-21 00:0",0.553578716845329,0.62791561090036,0.612544696812916,0.672859426259129,0.0684507305330356
"2004-07-22 00:0",0.513762391531544,0.632769496223341,0.656724012390772,0.663608704458242,0.0761931464242545
"2004-07-23 00:0",0.510723175053845,0.589167447329262,0.627168292694791,0.651222193046493,0.0712122374270745
"2004-07-26 00:0",0.518954897660169,0.590886032118449,0.785053070951228,0.641752292123175,0.119672548381642
"2004-07-27 00:0",0.514472114579354,0.565604920806885,0.781250701475777,0.680268380204224,0.129445051549925
"2004-07-28 00:0",0.535222545765013,0.557075458772311,0.754722067359945,0.682529717441263,0.0949927434194081
"2004-07-29 00:0",0.546063062279466,0.520597725114151,0.756961276399962,0.648393343008348,0.0933842752252692
"2004-07-30 00:0",0.543444867468363,0.51869997255686,0.757218048352244,0.646915806247301,0.0921285116585806
"2004-08-02 00:0",0.550196549740243,0.519405393164204,0.744387278147843,0.6098728894145,0.095979833815755
"2004-08-03 00:0",0.575255323449489,0.539316983465602,0.714499278730064,0.620932394698381,0.0962465715113515
"2004-08-04 00:0",0.560431086741288,0.497710732099712,0.734879821485843,0.618859929343256,0.109394834488358
"2004-08-05 00:0",0.557880066709556,0.497925230444957,0.735117743033554,0.618579908602712,0.106714779040282
"2004-08-06 00:0",0.567142075389136,0.547554433778687,0.726521801754965,0.64906441984293,0.113721776389641
"2004-08-09 00:0",0.579832703133428,0.565078425164713,0.745368200176422,0.644543895025776,0.115284301550926
"2004-08-10 00:0",0.559508927623515,0.50204991033517,0.712699455876989,0.688907304832716,0.125130925059245
"2004-08-11 00:0",0.581833296928744,0.515046443782566,0.711072672121413,0.705814207309806,0.148484815123846
"2004-08-12 00:0",0.609930890524232,0.510889641608847,0.706268733876032,0.677967447446181,0.124505580830664
"2004-08-13 00:0",0.557882292978507,0.44567015116749,0.765742768974534,0.653393996302919,0.130008584377125
"2004-08-16 00:0",0.552262923855118,0.446878233331734,0.782817084642767,0.675727961536237,0.134709596802618
"2004-08-17 00:0",0.538672403925146,0.469519500204202,0.722144653232109,0.65424710760374,0.192523906438453
"2004-08-18 00:0",0.586261639388512,0.476658360337862,0.694289719808087,0.633360425289928,0.157061810991546
